Contribution_abs,Contribution_pct,task,indicator,factor
7.20189,0.0,accessibility,pop_median,2014
0.7822873755830706,11.09956199900216,accessibility,pop_median,Road
-0.6362819575728094,-9.027949647866844,accessibility,pop_median,Population
6.9019067036878505,97.92838764886469,accessibility,pop_median,Bed
14.249802121698112,100.0,accessibility,pop_median,2024
0.6042892486128489,0.0,inequality_acc,pop_gini,2014
-0.05506812627325212,56.853038187361584,inequality_acc,pop_gini,Road
-0.0036709565445083477,3.7899425081846476,inequality_acc,pop_gini,Population
-0.03812139822068956,39.35701930445377,inequality_acc,pop_gini,Bed
0.5074287675743989,100.0,inequality_acc,pop_gini,2024
0.3437187564113414,0.0,inequality_acc,pop_theil,2014
-0.0017175196281033478,3.388149290539076,inequality_acc,pop_theil,Road
-0.00526979794091884,10.395725243923719,inequality_acc,pop_theil,Population
-0.043704652613616356,86.2161254655372,inequality_acc,pop_theil,Bed
0.2930267862287029,100.0,inequality_acc,pop_theil,2024
0.5371957716055611,0.0,inequality_acc,pop_MLD,2014
-0.04220460303158687,39.49588097857523,inequality_acc,pop_MLD,Road
-0.008109684219970867,7.589198801042627,inequality_acc,pop_MLD,Population
-0.05654395210378414,52.914920220382136,inequality_acc,pop_MLD,Bed
0.4303375322502192,100.0,inequality_acc,pop_MLD,2024
