campus_id,campus_name,hospital_name,province,province_en,city,city_en,evidence_year,bed_value,status_event,source_urls
P2C000209,扬州大学附属医院西区,扬州大学附属医院,江苏省,Jiangsu,扬州市,Yangzhou,2023,1000,,https://www.yangzhouyiyuan.com/articleInfo/17200
P2C000209,扬州大学附属医院西区,扬州大学附属医院,江苏省,Jiangsu,扬州市,Yangzhou,2025,1000,,https://www.yangzhouyiyuan.com/articleInfo/17200
P2C000210,苏州大学附属第二医院浒关院区,苏州大学附属第二医院,江苏省,Jiangsu,苏州市,Suzhou,2018,618,,https://jsnews.jschina.com.cn/sz/a/201812/t20181229_2142500.shtml
P2C000210,苏州大学附属第二医院浒关院区,苏州大学附属第二医院,江苏省,Jiangsu,苏州市,Suzhou,2021,560,,https://health.jschina.com.cn/gdxw/202110/t20211009_2868247.shtml
P2C000211,苏州市立医院太湖总院,苏州市立医院,江苏省,Jiangsu,苏州市,Suzhou,2024,1000,open,https://www.suzhou.gov.cn/szsrmzf/dstx/202411/18d635446f7a4e3daa63ba8b27ac5af1.shtml|https://wsjkw.suzhou.gov.cn/szswjw/gsgg/202405/4626f5d3f3ee4065b7ff83e6f9dc0e2f.shtml|https://www.sdfey.cn/upload/ueditor/file/20240301/1709278864695726.pdf|https://www.suzhou.gov.cn/szsrmzf/szyw/202411/680a459975ae4033ba4512ed98e355df.shtml
P2C000213,山东中医药大学附属医院千佛山院区,山东中医药大学附属医院,山东省,Shandong,济南市,Jinan,2021,1000,,https://docs.cn-healthcare.com/sharedoc/pdf_files/20210525/35328ff7fb944db78f3f4c8c0a23a476.pdf
P2C000213,山东中医药大学附属医院千佛山院区,山东中医药大学附属医院,山东省,Shandong,济南市,Jinan,2023,1000,,https://www.sdutcm.edu.cn/info/1005/13936.htm
P2C000218,青岛市市立医院徐州路院区,青岛市市立医院,山东省,Shandong,青岛市,Qingdao,2020,105,,https://www.yanke360.com/f7d24201-3e71-a01e-82f1-4f3583fd7d82/d9d93f78-6546-4391-9436-0e100b4c4fbb.shtml
P2C000219,青岛市市立医院西院,青岛市市立医院,山东省,Shandong,青岛市,Qingdao,2017,314,,https://www.qdslyy.cn/xinwendongtai_view.aspx?id=92692
P2C000219,青岛市市立医院西院,青岛市市立医院,山东省,Shandong,青岛市,Qingdao,2022,342,,https://news.iqilu.com/shandong/shandonggedi/20220923/5243135.shtml|https://www.haodf.com/hospital/1321/jieshao.html
P2C000219,青岛市市立医院西院,青岛市市立医院,山东省,Shandong,青岛市,Qingdao,2023,342,,https://www.qingdaonews.com/app/content/2023-01/16/content_23402553.htm
P2C000221,南京明基医院主院区,南京明基医院,江苏省,Jiangsu,南京市,Nanjing,2022,1500,,https://nj.benqmedicalcenter.com/news_76_2.html
P2C000221,南京明基医院主院区,南京明基医院,江苏省,Jiangsu,南京市,Nanjing,2023,1500,,https://nj.benqmedicalcenter.com/newsdetail_4245.html
P2C000221,南京明基医院主院区,南京明基医院,江苏省,Jiangsu,南京市,Nanjing,2024,1500,,https://nj.benqmedicalcenter.com/newsdetail_4344.html
P2C000222,南京市高淳人民医院主院区,南京市高淳人民医院,江苏省,Jiangsu,南京市,Nanjing,2022,1300,,https://xsc.bbmu.edu.cn/jyzdzx/info/1078/5155.htm|https://www.dayi.org.cn/hospital/1140310?from=sg
P2C000223,张家港市第一人民医院主院区,张家港市第一人民医院,江苏省,Jiangsu,苏州市,Suzhou,2016,1682,,https://csp.ncmi.cn/WebManage/StrokeRecognition/CzdtUUDetailWeb?uid=02245
P2C000223,张家港市第一人民医院主院区,张家港市第一人民医院,江苏省,Jiangsu,苏州市,Suzhou,2022,1682,,https://www.jssrcfwypt.org.cn/web/article?aid=132334
P2C000224,常熟市第二人民医院主院区,常熟市第二人民医院,江苏省,Jiangsu,苏州市,Suzhou,2022,1570,,https://www.jobmd.cn/company/5813621/359034.htm
P2C000225,常熟市中医院主院区,常熟市中医院,江苏省,Jiangsu,苏州市,Suzhou,2024,1048,,https://3g.kq36.com/25/ded6f0d8d1cb463983b2abcb3701aa7a
P2C000226,昆山市第一人民医院主院区,昆山市第一人民医院,江苏省,Jiangsu,苏州市,Suzhou,2023,1400,open,https://czju.suzhou.gov.cn/zfcg/html/project/b5e268bf8abb4d5ab53d6ffe1c383a67.shtml|https://www.ksrmyy.org/fkb/list/225/4541.html
P2C000226,昆山市第一人民医院主院区,昆山市第一人民医院,江苏省,Jiangsu,苏州市,Suzhou,2024,1400,,https://czju.suzhou.gov.cn/zfcg/html/project/b5e268bf8abb4d5ab53d6ffe1c383a67.shtml
P2C000227,临沂市人民医院主院区,临沂市人民医院,山东省,Shandong,临沂市,Linyi,2022,1060,,https://www.cnkang.com/yyk/hospintro/864/
P2C000227,临沂市人民医院主院区,临沂市人民医院,山东省,Shandong,临沂市,Linyi,2023,1060,,https://www.sohu.com/a/717983141_119685|https://www.cnkang.com/yyk/hospintro/864/
P2C000228,山东大学齐鲁医院德州医院主院区,山东大学齐鲁医院德州医院,山东省,Shandong,德州市,Dezhou,2022,1725,,https://m.youlai.cn/yyk/hospindex/945/hospintro.html
P2C000228,山东大学齐鲁医院德州医院主院区,山东大学齐鲁医院德州医院,山东省,Shandong,德州市,Dezhou,2023,1725,,https://xdyycyxy.dzu.edu.cn/info/1004/1013.htm
P2C000229,阳光融和医院主院区,阳光融和医院,山东省,Shandong,潍坊市,Weifang,2019,2000,,https://health.people.com.cn/n1/2019/0508/c14739-31074147.html
