legal_entity_id,hospital_legal_entity_name,aliases_or_campus_names,institution_category,province,province_en,city,city_en,tertiary_grade_a_analysis_start_year,primary_source_urls
LE001679,重庆市中医院,重庆市中医院(道门口院部),general_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://news.sina.cn/sa/2009-10-19/detail-ikmyaawa2223317.d.html
LE001681,重庆市九龙坡区中医院,,traditional_chinese_medicine_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://www.dayi.org.cn/hospital/1134216.html
LE001682,重庆市人民医院,重庆市人民医院(三院院区);重庆市人民医院(两江院本部),general_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://www.cghhospital.org/into_hos/
LE001683,重庆市公共卫生医疗救治中心,,specialized_hospital,重庆市,Chongqing,重庆市,Chongqing,2022,https://wsjkw.cq.gov.cn/zwgk_242/fdzdgknr/tzgg/gzgs/202203/t20220317_10519295_wap.html
LE001684,重庆市北碚区中医院,,traditional_chinese_medicine_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://www.dayi.org.cn/hospital/1152458
LE001685,重庆市南川区人民医院,,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2015,https://www.sohu.com/a/865224019_121106884
LE001686,重庆市合川区人民医院,,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2020,https://m.dayi.org.cn/hospital/1156990?from=jrtt
LE001687,重庆市垫江县中医院,,traditional_chinese_medicine_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://health.people.com.cn/n1/2015/1217/c398004-27939670.html
LE001688,重庆市垫江县人民医院,,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://www.dayi.org.cn/hospital/1135691.html
LE001689,重庆医科大学附属大足医院（重庆市大足区人民医院）,重庆医科大学附属第一医院大足医院;重庆市大足区人民医院,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2016,https://wsjkw.cq.gov.cn/zwgk_242/wsjklymsxx/ylws_266434/yzgl_266435/ymjzd/dzq_213009/202202/t20220218_10411139.html
LE001691,重庆市巴南区人民医院,,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2020,https://bnrmyy.cn/yygk/fzlc/content_4637
LE001692,重庆市开州区人民医院,,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://www.cqskzqrmyy.cn/Category_12/Index.aspx
LE001693,重庆市急救医疗中心,,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://www.nhc.gov.cn/jgdw/wmdw/201511/8f62cef699b549e6b34dece6048d02a1.shtml
