Year,Coastal_Inland,min,max,grid_num,pop_num,snap_invalid_pop_pct,valid_acc_grid_num,valid_acc_pop_num,valid_acc_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20,pop_theil_within_city,pop_theil_between_city,pop_theil_decomp_sum,pop_theil_decomp_residual,pop_theil_within_city_share_pct,pop_theil_between_city_share_pct,pop_theil_city_count
2014,Coastal,0.0,52.83577346801758,1205462,513359310.0,,1205462,513359310.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.496325624946302,3.1757359054661154,9.435528183179098,18.07705347138743,9.98601175432856,0.4798993827111854,0.4051339510804686,0.25426098392481145,12.358514156488171,,10.536012265966837,,,,,,,0
2014,Inland,0.0,94.2752456665039,6938175,842862829.0,,6938175,842862829.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,10.813247871714367,0.0,4.927447876359365,17.892275116062088,13.776082376183407,0.6457193630220084,0.7772532986404753,0.4731034965117128,35.2299135497883,,,,,,,,,0
2015,Coastal,0.0,49.35383224487305,1205223,517821350.0,,1205223,517821350.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.973614976541112,3.6822177577726913,9.974175617119137,18.50918197631836,10.050238938950036,0.4665055417698265,0.38202387706974106,0.23968475017992974,11.029172126641747,,8.716010595642844,,,,,,,0
2015,Inland,0.0,101.63517761230469,6906424,850192710.0,,6906424,850192710.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.421510240951477,0.0,5.547000819239123,18.536011880717183,14.370536545474584,0.6386218737126489,0.7539956127435441,0.45723185952470125,32.71668949031567,,,,,,,,,0
2016,Coastal,0.0,84.51323699951172,1205603,520111970.0,,1205603,520111970.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.443717703835494,4.031022344497528,10.444420617202233,18.96013831837859,10.205167958019269,0.45718601531568526,0.3650203090373155,0.2274561435110889,9.84340833378628,1719.7462343072577,7.767469626490098,,,,,,,0
2016,Inland,0.0,162.9971923828125,6905257,853965287.0,,6905257,853965287.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.774489351154921,0.0,5.91821851779271,18.953071341377687,14.630590399401221,0.6339962707363969,0.7412988530857145,0.4508993537033712,32.03656145803032,,,,,,,,,0
2017,Coastal,0.0,46.328006744384766,1206380,522257846.0,,1206380,522257846.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,13.272235891934876,4.979018480463732,12.057983769439131,19.39988751188812,10.186939342079988,0.43053505857850394,0.32688712646203605,0.2058472267235154,8.562405781453784,96.95165086625913,6.311444256191223,,,,,,,0
2017,Inland,0.0,171.5692138671875,6909403,857684721.0,,6909403,857684721.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.34298456109859,0.0,6.865090238583552,19.74541814016563,14.780246382143291,0.6188800775411427,0.7005539315986788,0.4292354370355973,29.75724246345762,,,,,,,,,0
2018,Coastal,0.0,46.60979461669922,1208859,524297324.0,,1208859,524297324.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,13.82266180608128,5.43249036085726,12.45123846499951,19.90900255559565,10.53839771927466,0.4271421986690488,0.3199130399871612,0.19992451244600162,8.035442118716594,58.31748986768802,5.906464854424832,,,,,,,0
2018,Inland,0.0,178.45530700683594,6895758,861052359.0,,6895758,861052359.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,13.211553882863143,0.0,7.629386756375984,21.216044734729053,15.48691896522213,0.6117514750485207,0.6831023974946551,0.42086607514416396,28.754334206521815,,,,,,,,,0
