Year,Urban_Rural,min,max,grid_num,pop_num,snap_invalid_pop_pct,valid_acc_grid_num,valid_acc_pop_num,valid_acc_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20,pop_theil_within_city,pop_theil_between_city,pop_theil_decomp_sum,pop_theil_decomp_residual,pop_theil_within_city_share_pct,pop_theil_between_city_share_pct,pop_theil_city_count
2014,Rural,0.0,94.14326477050781,1968699,631546375.0,,1968699,631546375.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,6.9411337411578575,0.0,3.471234320319273,10.959488506896047,9.000432880772014,0.6417780599359684,0.7645802144698215,0.45874604694653287,32.77022736453835,,,,,,,,,0
2014,Unknown,0.0,93.89576721191406,5943514,195420231.0,,5943514,195420231.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,4.624348071104083,0.0,0.0,6.455218602791716,8.393017373281701,0.7693087731288432,1.201811039783656,0.6430288703170386,54.10373964812272,,,,,,,,,0
2014,Urban,0.0,94.2752456665039,231424,529255533.0,,231424,529255533.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,18.38146387652626,7.752494128227902,16.858419708942193,25.876532803145952,13.690347675024551,0.41360031145566545,0.3030299828996485,0.1919087207417981,9.011638051217123,58.16491579127489,4.995165262508003,,,,,,,0
2015,Rural,0.0,101.63517761230469,1969077,637953582.0,,1969077,637953582.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,7.2987875037424566,0.0,3.995561633394172,11.302407054402149,9.219876492900744,0.6285352729859678,0.727589143700549,0.4368372784922415,29.876565533572002,,,,,,,,,0
2015,Unknown,0.0,101.63517761230469,5911043,196568156.0,,5911043,196568156.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,4.884584396919296,0.0,0.0,6.874368234174926,8.76392934998652,0.7645893452652801,1.180977715934921,0.6346304492616062,52.84829959945292,,,,,,,,,0
2015,Urban,0.0,91.6412582397461,231527,533492322.0,,231527,533492322.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,19.295941874083596,8.821514281740205,17.451865326311644,27.136166806847346,14.12143100637313,0.4048497963194154,0.28788349985445527,0.17913733192209058,7.6448652245083295,22.904536206646874,4.632684168436412,,,,,,,0
2016,Rural,0.0,162.9971923828125,1969254,640668325.0,,1969254,640668325.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,7.562292969139242,0.0,4.2333127122393925,11.771760985983311,9.353307404784665,0.6202047116398421,0.7057614499036412,0.4254592784162937,28.61300845488186,,,,,,,,,0
2016,Unknown,0.0,162.9697265625,5910056,197292825.0,,5910056,197292825.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,4.958589516735952,0.0,0.0,7.296438694000244,8.820593752952446,0.7597196507604167,1.1642861924841599,0.6299634944224353,52.76411445778629,,,,,,,,,0
2016,Urban,0.0,87.06954193115234,231550,536116107.0,,231550,536116107.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,19.965667630339034,9.36775876248869,18.098048895775435,28.020167037320938,14.277984947774563,0.3975900073845431,0.2760020711823335,0.17082867381262445,6.969304692052463,16.50995704023424,4.4486973826045695,,,,,,,0
2019,Rural,0.0,152.3114776611328,2153227,662441431.0,,2153227,662441431.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,8.996291995493015,0.0991162403568364,5.932543422983981,14.04872602260474,10.202138630840324,0.5852744303097317,0.6200796600989638,0.37998166151293067,24.07359043942407,,,,,,,,,0
