Year,city_level,min,max,grid_num,pop_num,snap_invalid_pop_pct,valid_acc_grid_num,valid_acc_pop_num,valid_acc_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20,pop_theil_within_city,pop_theil_between_city,pop_theil_decomp_sum,pop_theil_decomp_residual,pop_theil_within_city_share_pct,pop_theil_between_city_share_pct,pop_theil_city_count
2014,Large City,0.0,61.57545471191406,1539776,438120644.0,0.0,1539776,438120644.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.840688397382252,1.6259469356974763,8.591441716739467,17.38814631509648,12.30527435949736,0.5474931141236064,0.531939284749197,0.32539381705974046,18.103686983533237,,80.21537608422305,0.3502503573190663,0.18168892743013076,0.531939284749197,0.0,65.84404787553999,34.155952124460015,80
2014,Medium/Small City,0.0,94.2752456665039,6142314,675169135.0,0.0,6142314,675169135.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,7.049166769439364,0.0,2.585739945927722,11.22640609741211,9.934706348606355,0.674065136365426,0.8616619095362067,0.5081755131856787,39.20967951237878,,,0.5724886227544195,0.28917328678178733,0.8616619095362068,0.0,66.44005223145629,33.55994776854371,256
2014,Mega City,0.0,38.82222366333008,186566,124408478.0,0.0,186566,124408478.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,17.107600534812285,10.131169007813176,18.760012147438466,23.807092719341643,9.122119999091847,0.3037764852345445,0.18054328817332382,0.1218567020518172,5.073153455024182,9.930788841622798,2.7703715430697122,0.12294958103518283,0.057593707138140715,0.18054328817332355,0.0,68.09977943746648,31.900220562533526,7
2014,Super City,0.0,69.65190887451172,254657,116353865.0,0.0,254657,116353865.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,25.18969552670572,13.094964714859625,25.431648738859728,37.12942240098751,15.744579827441742,0.3497794007264534,0.2388248721563566,0.16203161842598668,7.6809068611515405,38.753085454684346,4.006196481637726,0.2062946644634005,0.032530207692956115,0.23882487215635662,0.0,86.3790536558274,13.620946344172587,14
2014,,0.0,48.099449157714844,20324,2170017.0,0.0,20324,2170017.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,4.40164683418948,0.0,0.0,5.898945999239745,7.501173599215984,0.7570572643921231,1.1372234784922972,0.6178022914314648,50.10651990283947,,,1.137223478492297,0.0,1.137223478492297,0.0,99.99999999999997,0.0,1
2015,Large City,0.0,67.09251403808594,1538538,441930794.0,0.0,1538538,441930794.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.292567570861381,2.1598511941865293,9.229680570453107,17.591056186172324,12.607781510123223,0.5370463737991374,0.5117195169958115,0.3115323622579903,16.682304560111735,,33.91453502375617,0.3422294466860829,0.1694900703097284,0.5117195169958113,0.0,66.8783259812395,33.12167401876051,80
2015,Medium/Small City,0.0,101.63517761230469,6112164,681037092.0,0.0,6112164,681037092.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,7.516764561304647,0.0,3.2321829076386783,11.822905194418771,10.258361966618834,0.660596319798317,0.8191185654807731,0.48553039261782105,36.078684536612585,,,0.579085215061145,0.24003335041962837,0.8191185654807733,0.0,70.69614088422679,29.30385911577321,256
2015,Mega City,0.0,39.65813064575195,186378,125490708.0,0.0,186378,125490708.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,17.718749909299603,10.39604646488274,18.86675266419334,24.87133579467092,9.387822080738998,0.3029734779939617,0.17626545100577715,0.11846321503230961,5.0340173393555165,8.000253038050596,2.7857661093295634,0.12078294773470466,0.05548250327107285,0.1762654510057775,0.0,68.52332493152372,31.476675068476283,7
2015,Super City,0.0,72.63984680175781,254228,117364932.0,0.0,254228,117364932.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,26.626140532907755,14.185120413584414,26.831336309834192,39.6621064679842,16.513701517083987,0.34788516168173444,0.23578602655384173,0.15920059558105604,7.208487966405502,29.80744951795305,4.069959358192361,0.20356658432553054,0.0322194422283113,0.23578602655384184,0.0,86.33530464072943,13.66469535927057,14
2015,,0.0,60.74531555175781,20339,2190534.0,0.0,20339,2190534.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,4.7956099065005136,0.0,0.18677938103148367,6.738978271683057,7.747420643866826,0.739279228640978,1.0707663325593388,0.5962739638334913,48.179621955194484,,,1.0707663325593397,0.0,1.0707663325593397,0.0,100.00000000000009,0.0,1
2016,Large City,0.0,66.39266967773438,1538742,443886569.0,0.0,1538742,443886569.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.685493027156458,2.421445608139038,9.572351943708496,18.162925494622023,12.714334438816289,0.5303867171237435,0.4966474098540178,0.30295024540030924,15.852019167536472,,23.882461659640878,0.332309403025576,0.16433800682844169,0.4966474098540177,0.0,66.91052775715744,33.089472242842554,80
2016,Medium/Small City,0.0,162.9971923828125,6110833,684058944.0,0.0,6110833,684058944.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,7.867199833711145,0.0,3.588683487632857,12.304995174326894,10.550675821700073,0.6523665587953309,0.7964251450035135,0.4744014535777318,34.92016281567689,,,0.572934774926535,0.2234903700769788,0.7964251450035138,0.0,71.93830814118849,28.06169185881151,257
2016,Mega City,0.0,42.15114974975586,186527,126046410.0,0.0,186527,126046410.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,17.99404037219647,10.734425656573453,19.027081223938364,25.018761662967492,9.572016921239962,0.30365063524921343,0.1773603873095097,0.11978623217129203,5.27156227614892,8.332075331441885,2.6915915137147053,0.12339416974139761,0.053966217568112373,0.17736038730950998,0.0,69.57256443405458,30.42743556594541,7
2016,Super City,0.0,84.51323699951172,254426,117884204.0,0.0,254426,117884204.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,27.442098503323397,14.706201553344727,27.767154248906476,39.77828323918073,16.698423661081826,0.34181054441945447,0.22801216212493616,0.15348251222744203,6.667736417001212,22.994724211627318,3.9528810673233523,0.19655754718265683,0.03145461494227941,0.22801216212493625,0.0,86.20485212317566,13.79514787682434,14
2016,,0.0,46.3179931640625,20332,2201130.0,0.0,20332,2201130.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,5.22876534125198,0.0,0.38407075270268715,7.288816005625623,8.332755358574003,0.7337982624718755,1.0477130238720984,0.5857925497501169,46.95565459559408,,,1.0477130238720984,0.0,1.0477130238720984,0.0,100.0,0.0,1
2017,Large City,0.0,62.64448928833008,1538961,445590781.0,0.0,1538961,445590781.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,13.492203544761086,2.9281290696888433,10.598103779940802,19.305675370122707,12.982495815986486,0.5136963084258956,0.4666113866984778,0.28747801068414025,14.879565248456073,,17.29173483669505,0.3161920226390946,0.15041936405938383,0.46661138669847846,0.0,67.76346048396287,32.23653951603713,80
2017,Medium/Small City,0.0,171.5692138671875,6115774,686927240.0,0.0,6115774,686927240.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,8.43476908879003,0.0,4.616511388416708,13.272480040642321,10.698377167468381,0.628489092971946,0.7329148032228212,0.4434856231345994,31.911204161884744,,,0.5442766512146835,0.18863815200813772,0.7329148032228212,0.0,74.2619263277743,25.7380736722257,257
2017,Mega City,0.0,41.37549591064453,186490,126533593.0,0.0,186490,126533593.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,18.84392946832945,13.516574327683088,19.199303563284133,25.45297792898795,9.604253631240608,0.2885351367712812,0.16353333519342608,0.11077593018445664,4.674749100027531,7.416247072072843,2.3548465862407824,0.11473193892644007,0.048801396266985986,0.16353333519342605,0.0,70.15813552064841,29.841864479351592,7
2017,Super City,0.0,70.20442199707031,254272,118621991.0,0.0,254272,118621991.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,27.94230091123819,16.00112983007215,28.584678929800134,39.9322949746653,16.18453358702241,0.32613781485320426,0.20979973598770366,0.14282765593457292,6.365041537702735,18.68651960241858,3.2620649107844732,0.1831446776207133,0.02665505836699067,0.20979973598770396,0.0,87.29499908972579,12.705000910274206,14
2017,,0.0,42.762332916259766,20286,2268962.0,0.0,20286,2268962.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,5.6779108330341765,0.0,1.5529677300002631,8.757180576256099,8.164425336676938,0.6950795824765295,0.9207460823038407,0.5385923173006347,42.61710861618661,,,0.920746082303842,0.0,0.920746082303842,0.0,100.00000000000011,0.0,1
2018,Large City,0.0,62.71883010864258,1541023,447337794.0,0.0,1541023,447337794.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,14.123588978126627,3.1065089988381893,10.97638245018161,20.16665282426057,13.547438982927833,0.5132648945575604,0.46405256473346,0.2847758087838944,14.411465309814622,,15.306884265732922,0.3130867976264695,0.1509657671069906,0.4640525647334601,0.0,67.46795975716641,32.53204024283358,80
2018,Medium/Small City,0.0,178.45530700683594,6101629,689607782.0,0.0,6101629,689607782.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,8.994583693869576,0.0,5.31691104888916,14.235249754366667,11.085559308859915,0.6172362240959011,0.7050393312343859,0.4302708386679567,30.592865177382816,,,0.538466898364597,0.1665724328697893,0.7050393312343863,0.0,76.37402262677269,23.625977373227315,257
2018,Mega City,0.0,41.5951042175293,187054,127027179.0,0.0,187054,127027179.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,19.916697431985952,14.03145205156719,19.86564762803245,27.332648530289127,10.128184117980243,0.28971609896751305,0.16453134267918687,0.11184767033016585,4.799569704685011,7.613893468351515,2.5466954620359568,0.12355465075000494,0.040976691929182074,0.164531342679187,0.0,75.0949021250736,24.905097874926398,7
2018,Super City,0.0,71.97748565673828,254496,119083151.0,0.0,254496,119083151.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,29.88404205611065,17.784710279367502,32.566424002334415,41.776584240233284,16.727395007857982,0.3144320372170315,0.20055276950980563,0.13797559859464448,6.073719026800021,17.17637381904248,3.188221330636285,0.17789205730702617,0.0226607122027791,0.20055276950980527,0.0,88.70087296317732,11.29912703682269,14
2018,,0.0,43.558837890625,20415,2293777.0,0.0,20415,2293777.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,5.9405957770961875,0.0,1.7211029529571533,8.533159852027893,8.73617613302694,0.7005114766425065,0.933527808871514,0.5383532124853838,41.47033473611428,,,0.933527808871514,0.0,0.933527808871514,0.0,99.99999999999996,0.0,1
