Year,min,max,grid_num,pop_num,snap_invalid_pop_pct,valid_acc_grid_num,valid_acc_pop_num,valid_acc_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20,pop_theil_within_city,pop_theil_between_city,pop_theil_decomp_sum,pop_theil_decomp_residual,pop_theil_within_city_share_pct,pop_theil_between_city_share_pct,pop_theil_city_count
2014,0.0,94.2752456665039,8143637,1356222139.0,0.0,8143637,1356222139.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.07180752355286,0.0,7.218134454544716,17.974296889215147,12.482009141595952,0.5886871481855027,0.6314429474654578,0.3933111160059688,26.5725959366602,,,0.360875119639128,0.2705678278263295,0.6314429474654575,0.0,57.15086708746071,42.84913291253928,358
2015,0.0,101.63517761230469,8111647,1368014060.0,0.0,8111647,1368014060.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.630493195062648,0.05366575937556184,7.865303345851378,18.520140204963944,12.909229888869078,0.5798839710611337,0.6093069154033154,0.3780826899014853,24.507519827683645,,,0.36073597440861427,0.24857094099470078,0.609306915403315,0.0,59.204313177675715,40.795686822324285,358
2016,0.0,162.9971923828125,8110860,1374077257.0,0.0,8110860,1374077257.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.02780383920088,0.21634157334547924,8.35010552406311,18.956924438476562,13.136102278223937,0.5735322814835973,0.5943084058489135,0.3694834882308412,23.636069758485203,,,0.35591887362030494,0.23838953222860804,0.594308405848913,0.0,59.887908385194166,40.112091614805834,359
2017,0.0,171.5692138671875,8115783,1379942567.0,0.0,8115783,1379942567.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.69467224002153,0.7738213909863403,9.33921314804789,19.52339145600121,13.238424261742448,0.5541472325757084,0.5533272448863849,0.34734603451362545,21.73577112358184,,,0.339480919913429,0.21384632497295586,0.5533272448863849,0.0,61.352648554859236,38.64735144514077,359
2018,0.0,178.45530700683594,8104617,1385349683.0,0.0,8104617,1385349683.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,13.442832853617032,1.0688899024264176,9.946710121225227,20.437766661239518,13.827220893782124,0.5493306236009485,0.5420087705472005,0.3403628230841005,20.91309396863665,,,0.33702505107830927,0.2049837194688915,0.5420087705472008,0.0,62.18073754379579,37.81926245620421,359
2019,0.0,152.3114776611328,8092082,1390286016.0,0.0,8092082,1390286016.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,14.012148434628866,1.5336027499930611,10.435142456177571,21.293565757448633,14.1361362523674,0.54115723569018,0.5241402413389521,0.3291236906378684,19.719862808430925,,620.7522882809449,0.3300917884390233,0.1940484528999291,0.5241402413389524,0.0,62.97776098926903,37.02223901073097,359
2020,0.0,163.81317138671875,8071518,1394572373.0,0.0,8071518,1394572373.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,14.763232659568697,2.146038591090144,11.29045568153321,22.153891364254626,14.554008530292188,0.530142905768958,0.5013837946308081,0.3148808553892709,18.400434711608902,,73.19571610328188,0.3151842858614753,0.18619950876933267,0.501383794630808,0.0,62.862878544680534,37.137121455319466,359
2021,0.0,110.25078582763672,6290511,1398473006.0,0.0,6290511,1398473006.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,15.514745106596783,2.6210229887238032,11.942683219909668,23.160464974827978,15.021698750278638,0.5231948615685615,0.48659111751586653,0.3054505896474733,17.403942153746513,,38.66094035563944,0.3020399320833671,0.18455118543249904,0.48659111751586615,0.0,62.07263577381652,37.92736422618348,359
2022,0.0,107.47737884521484,6297843,1411147381.0,0.0,6297843,1411147381.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,16.026960265846537,2.9087928686466515,12.347837341519503,23.970021432109377,15.361735556021276,0.5186063946563165,0.47757933867928243,0.2996450889640707,16.81303542028825,,29.069723817072067,0.29259660073991123,0.18498273793937114,0.4775793386792824,0.0,61.26659531567466,38.73340468432534,359
2023,0.0,106.41067504882812,6165308,1413698093.0,0.0,6165308,1413698093.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,16.994544591715947,3.4957225067274913,13.289321899414062,25.197695927943535,16.04991039533466,0.5117134796854537,0.46371574238694374,0.2904656370180112,15.904121121283849,,20.583290687442773,0.28245782422610555,0.18125791816083847,0.463715742386944,0.0,60.91184715277809,39.088152847221906,359
2024,0.0,101.67057800292969,5959327,1416591031.0,0.0,5959327,1416591031.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,18.002216977455372,4.194583544403958,14.285131650221976,26.935793287802063,16.62270513615628,0.5022441969261722,0.44554196990341866,0.27894213238428756,14.803460166761425,,15.527461533701587,0.27154800511649446,0.17399396478692397,0.44554196990341843,0.0,60.94779469942166,39.05220530057835,359
