Year,省级,省级码,min,max,grid_num,pop_num,snap_invalid_pop_pct,valid_acc_grid_num,valid_acc_pop_num,valid_acc_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20,pop_theil_within_city,pop_theil_between_city,pop_theil_decomp_sum,pop_theil_decomp_residual,pop_theil_within_city_share_pct,pop_theil_between_city_share_pct,pop_theil_city_count
2014,上海市,310000,0.0,20.740402221679688,8699,23392502.0,0.0,8699,23392502.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,17.243204287761085,16.127784102360216,18.794391845230297,19.966616868234926,4.191872104405765,0.11353610750851484,0.04313409880689027,0.032242422626461265,1.5342950489007119,1.6477196157526695,1.3107478284642053,0.04313409880689001,0.0,0.04313409880689001,0.0,100.0,0.0,1
2014,云南省,530000,0.0,33.61820602416992,477420,46657199.0,0.0,477420,46657199.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,5.107313457304138,0.0,0.0,5.947380653164561,9.600529620158273,0.8022422655038052,1.3953705929730211,0.7284746356159499,68.84892297113679,,,0.5720146218296076,0.8233559711434137,1.3953705929730214,0.0,40.993742071835904,59.006257928164096,16
2014,内蒙古自治区,150000,0.0,39.89912414550781,898996,25340463.0,0.0,898996,25340463.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,7.554481330220263,0.0,0.0,13.191613296019895,12.273961261456583,0.7534876495290478,1.195474297190349,0.6746452240501604,63.54484130775353,,,0.4771316868399458,0.7183426103504034,1.1954742971903491,0.0,39.9114968813064,60.0885031186936,12
2014,北京市,110000,0.0,25.617900848388672,21076,19920740.0,0.0,21076,19920740.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,20.468527850847533,18.54425558782136,22.791657085841038,24.634070982232018,5.912679984283533,0.14266529740503298,0.05740116079121017,0.038527811480072005,0.8676886501204273,2.1570980699559894,1.4598306552873392,0.05740116079121371,0.0,0.05740116079121371,0.0,100.0000000000062,0.0,1
2014,吉林省,220000,0.0,58.18506622314453,240554,27867163.0,0.0,240554,27867163.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.602666427548415,0.0,2.61810302734375,20.43323096931851,17.121357532106238,0.6824219967562086,0.9104420415731065,0.5478958636017396,45.230237466225034,,,0.6142584043351631,0.2961836372379425,0.9104420415731056,0.0,67.4681502266545,32.5318497733455,9
2014,四川省,510000,0.0,94.2752456665039,576639,81706159.0,0.0,576639,81706159.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,10.948000080546585,0.183970108628273,8.767614257091271,18.259464263916016,11.94989890527149,0.5485167130156906,0.5669176467295965,0.3578859723437159,23.635849777248737,,,0.3865699315176161,0.18034771521198012,0.5669176467295962,0.0,68.1880223252248,31.811977674775203,21
2014,天津市,120000,0.0,30.99951934814453,16424,13043378.0,0.0,16424,13043378.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,20.98051208511902,11.59092903137207,24.876668594944903,30.12197271590388,10.224043495069468,0.26656516751897585,0.15331563559405673,0.0939718429998484,0.38549829653023937,6.4055682175565245,3.4042058490250753,0.15331563559405614,0.0,0.15331563559405614,0.0,100.0,0.0,1
2014,宁夏回族自治区,640000,0.0,23.8862361907959,73412,6389183.0,0.0,73412,6389183.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,7.524890224574399,0.0,0.9847486382350326,15.109604099465976,9.290389559943337,0.6445000571572028,0.8377232432333458,0.5282045035236415,43.80051408763844,,,0.19621049905090793,0.6415127441824375,0.8377232432333455,0.0,23.42187597584111,76.57812402415888,5
2014,安徽省,340000,0.0,38.173213958740234,181355,60380162.0,0.0,181355,60380162.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,10.109036764290313,0.0,7.137449264526367,17.30816639959812,10.221697051295655,0.5582800055935042,0.5802986557859456,0.38206072487958154,27.357864657600622,,,0.4036063790360278,0.17669227674991772,0.5802986557859455,0.0,69.5514930134365,30.448506986563505,16
2014,山东省,370000,0.0,41.447776794433594,219517,97211924.0,0.0,219517,97211924.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,9.854306529137935,3.142797461871443,7.723746786793718,14.096785333777078,8.856415815870285,0.47838810573291757,0.39470519744773225,0.2321769015366032,8.875507905799704,121.18034099599477,6.9008041926224,0.27274173215939523,0.12196346528833679,0.394705197447732,0.0,69.10011165878109,30.8998883412189,16
2014,山西省,140000,0.0,44.17239761352539,224108,36332774.0,0.0,224108,36332774.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,11.314161343976561,0.0408427300909073,7.127731807529926,17.476000418927935,12.726982124885337,0.5890787197594726,0.6259818710827324,0.383938398419124,24.713051087153435,,,0.3155879036946474,0.31039396738808556,0.625981871082733,0.0,50.41486315710534,49.585136842894656,11
