Year,地级,地级码,min,max,grid_num,pop_num,snap_invalid_pop_pct,valid_acc_grid_num,valid_acc_pop_num,valid_acc_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20,pop_theil_within_city,pop_theil_between_city,pop_theil_decomp_sum,pop_theil_decomp_residual,pop_theil_within_city_share_pct,pop_theil_between_city_share_pct,pop_theil_city_count
2014,七台河市,230900.0,0.0,27.401996612548828,7747,930450.0,0.0,7747,930450.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,16.977893319100584,7.687646119518483,23.922439575195312,25.744884474664676,10.418040823106896,0.3315155899240983,0.277048490618457,0.2130827776379779,15.60040840453544,,8.244039038981377,0.2770484906184576,0.0,0.2770484906184576,0.0,100.0,0.0,1
2014,万宁市,0.0,0.0,5.065165042877197,2242,545628.0,0.0,2242,545628.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,2.6349741751307336,1.418993592262268,2.915626428965812,3.3875099631722576,1.4137952170802488,0.303260187751586,0.1948034501613915,0.1442103932263152,9.776074541629097,161.84725221734712,3.240561175212456,0.1948034501613913,0.0,0.1948034501613913,0.0,100.0,0.0,1
2014,三亚市,460200.0,0.0,15.083297729492188,1639,682170.0,0.0,1639,682170.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,14.15992047037384,14.40338644158823,14.852123454837908,14.94935946577954,1.757827656306265,0.0465855897110962,0.0093489375800342,0.0053181233981867,0.0165647859038069,1.2979807096652949,1.0612320279311105,0.0093489375800346,0.0,0.0093489375800346,0.0,100.0,0.0,1
2014,三明市,350400.0,0.0,34.795440673828125,29326,2548670.0,0.0,29326,2548670.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,9.51469168835614,0.0,3.095462775230408,16.837678188677728,11.184229030477386,0.6259721535497208,0.7699620634497529,0.4937351990874623,38.95106074933201,,,0.7699620634497517,0.0,0.7699620634497517,0.0,99.99999999999984,0.0,1
2014,三门峡市,411200.0,0.0,10.34135627746582,13678,2269469.0,0.0,13678,2269469.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,2.47249247575358,0.1117660697098537,2.259485315462604,3.6266794654689702,2.277734077270862,0.4988242372631988,0.4767563829204917,0.3233599835637885,23.804246720268047,,,0.4767563829204909,0.0,0.4767563829204909,0.0,99.99999999999989,0.0,1
2014,上海市,0.0,0.0,20.740402221679688,8699,23392502.0,0.0,8699,23392502.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,17.243204287761085,16.127784102360216,18.794391845230297,19.96661686823493,4.191872104405765,0.1135361075085148,0.0431340988068902,0.0322424226264612,1.534295048900712,1.6477196157526697,1.3107478284642051,0.04313409880689,0.0,0.04313409880689,0.0,100.0,0.0,1
2014,上饶市,361100.0,0.0,34.262725830078125,27625,6686877.0,0.0,27625,6686877.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,3.825782841917197,0.0,2.777694846667259,4.764889620972133,5.230385126246359,0.6042426618899266,0.7028225120562516,0.4012395493144136,26.26097354564769,,,0.7028225120562512,0.0,0.7028225120562512,0.0,99.99999999999991,0.0,1
2014,东方市,0.0,0.0,0.1590250581502914,2500,415135.0,0.0,2500,415135.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,6.060108010482335e-05,0.0,0.0,0.0,0.0029935875463183,0.9995996842743394,7.685583459990946,0.9994576262642604,99.92508461103014,,,7.685583459990946,0.0,7.685583459990946,0.0,100.0,0.0,1
2014,东莞市,441900.0,2.387315034866333,29.024045944213867,3030,8291276.0,0.0,3030,8291276.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,14.45266474377551,8.93245118199382,14.735315847709716,19.103837946460978,6.280923566198359,0.2494031487248973,0.0998704687473728,0.0522652502457735,0.0,3.4668561883439546,2.4382891371908912,0.099870468747373,0.0,0.099870468747373,0.0,100.0,0.0,1
2014,东营市,370500.0,0.0,17.09676170349121,9316,2073270.0,0.0,9316,2073270.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,7.319541180989829,5.451667997355018,8.637063980102539,9.70250117064349,3.2263846216900487,0.2384289857459418,0.1317136291867959,0.0934871873274046,4.453544400873981,4.632027749804586,2.0677256946301417,0.1317136291867957,0.0,0.1317136291867957,0.0,100.0,0.0,1
