Year,县级码,县级,min,max,grid_num,pop_num,snap_invalid_pop_pct,valid_acc_grid_num,valid_acc_pop_num,valid_acc_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20,pop_theil_within_city,pop_theil_between_city,pop_theil_decomp_sum,pop_theil_decomp_residual,pop_theil_within_city_share_pct,pop_theil_between_city_share_pct,pop_theil_city_count
2014,110101.0,东城区,24.414840698242188,25.495603561401367,64,887854.0,0.0,64,887854.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,25.201258839364048,25.044847608283145,25.28926033939281,25.35128216112967,0.2160743253577302,0.0045329630626248,3.6892326799224026e-05,1.8480468739645595e-05,0.0,1.0207001961806088,1.0144002422607463,3.689232679926491e-05,0.0,3.689232679926491e-05,0.0,100.0,0.0,1
2014,110102.0,西城区,24.639162063598636,25.617900848388672,81,1454738.0,0.0,81,1454738.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,25.362936306478712,25.33234425778392,25.40860269549172,25.49282546045661,0.2039370074910827,0.0041222030439651,3.245358591985723e-05,1.6258723365303318e-05,0.0,1.0216563927273103,1.0101491512065923,3.2453585919967054e-05,0.0,3.2453585919967054e-05,0.0,100.0,0.0,1
2014,110105.0,朝阳区,16.244253158569336,25.3925724029541,702,3652073.0,0.0,702,3652073.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,23.872136599978887,23.034720921352687,24.20329209432029,24.79767734912361,1.157757506719749,0.0267100443029666,0.0011946321949012,0.0006021871625279,0.0,1.1312945891955937,1.095621970152772,0.0011946321949012,0.0,0.0011946321949012,0.0,100.0,0.0,1
2014,110106.0,丰台区,14.200773239135742,25.108327865600582,455,2202575.0,0.0,455,2202575.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,23.24872758974576,22.509604499601338,23.609824466457543,24.447400414842196,1.5570655082661435,0.0347931957859833,0.002329899629957,0.0011886537920616,0.0,1.166542691198048,1.1026854864215,0.0023298996299572,0.0,0.0023298996299572,0.0,100.0,0.0,1
2014,110107.0,石景山区,8.824549674987793,24.053186416625977,128,656285.0,0.0,128,656285.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,21.76272895495216,20.796132409922464,21.88673627903312,22.723166000648572,1.353942000494724,0.0348979481718944,0.0019712100737727,0.0009968950313973,0.0,1.1708643636198073,1.1240885701521235,0.0019712100737732,0.0,0.0019712100737732,0.0,100.0,0.0,1
2014,110108.0,海淀区,7.259765148162842,25.44623565673828,627,3196339.0,0.0,627,3196339.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,23.53158143528117,23.05204211337901,24.140022303443786,24.82817467962682,1.9233900760183016,0.040239268077952,0.0035295846284966,0.0018168130635833,0.0,1.2239497798460546,1.0968900535207422,0.003529584628497,0.0,0.003529584628497,0.0,100.0,0.0,1
2014,110109.0,门头沟区,0.0,21.29769515991211,1810,310718.0,0.0,1810,310718.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,16.133607966608206,16.65162927454168,18.28958238874163,19.177163315625823,5.794231216548388,0.1549344700301536,0.1094117285130661,0.092955121325544,6.777850011907903,5.027729974116292,1.200183596439401,0.1094117285130664,0.0,0.1094117285130664,0.0,100.00000000000082,0.0,1
2014,110111.0,房山区,0.0,23.60401725769043,2066,960074.0,0.0,2066,960074.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,14.239993023860748,11.623243302639814,15.05662050288666,18.14428593081028,5.080836920505339,0.1956576638616868,0.0825196634705734,0.0521977214917938,0.5218347752360755,2.5629952695805898,1.757903033671818,0.0825196634705736,0.0,0.0825196634705736,0.0,100.0,0.0,1
2014,110112.0,通州区,2.5399575233459477,22.989559173583984,1352,1176004.0,0.0,1352,1176004.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,17.52033516497039,15.056252534230223,18.20468588001745,20.595114901164763,3.5673093463927743,0.1138056316639496,0.0222840906529038,0.0116451345752053,0.0,1.700797916579004,1.4402281567390498,0.0222840906529038,0.0,0.0222840906529038,0.0,100.0,0.0,1
2014,110113.0,顺义区,1.1781359910964966,23.24511337280273,1532,884423.0,0.0,1532,884423.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,15.126795273203165,11.992036918799082,16.371494626546923,18.89489207119172,4.953257470000112,0.182010253025156,0.0630708151584911,0.0353266781836179,0.0,2.921590582024696,1.8071523804749448,0.0630708151584915,0.0,0.0630708151584915,0.0,100.0,0.0,1
