variable,year,x,density,bw_adjust,n_grid_rows,population_weight_sum
GDP_per,2014,0.0,2.0748917718225814e-06,5.0,6293289,1276849768.0
GDP_per,2014,1005.7889447236181,2.3545187110216814e-06,5.0,6293289,1276849768.0
GDP_per,2014,2011.5778894472362,2.659669832983887e-06,5.0,6293289,1276849768.0
GDP_per,2014,3017.3668341708544,2.990745045956552e-06,5.0,6293289,1276849768.0
GDP_per,2014,4023.1557788944724,3.347841965892109e-06,5.0,6293289,1276849768.0
GDP_per,2014,5028.94472361809,3.7307220911410135e-06,5.0,6293289,1276849768.0
GDP_per,2014,6034.733668341709,4.13878169730687e-06,5.0,6293289,1276849768.0
GDP_per,2014,7040.522613065326,4.571028834588711e-06,5.0,6293289,1276849768.0
GDP_per,2014,8046.311557788945,5.0260677360387466e-06,5.0,6293289,1276849768.0
GDP_per,2014,9052.100502512563,5.502091810363509e-06,5.0,6293289,1276849768.0
GDP_per,2014,10057.88944723618,5.996886189218905e-06,5.0,6293289,1276849768.0
GDP_per,2014,11063.678391959798,6.507840541375038e-06,5.0,6293289,1276849768.0
GDP_per,2014,12069.467336683418,7.031972550477362e-06,5.0,6293289,1276849768.0
GDP_per,2014,13075.256281407035,7.565962093819487e-06,5.0,6293289,1276849768.0
GDP_per,2014,14081.045226130653,8.106195772735872e-06,5.0,6293289,1276849768.0
GDP_per,2014,15086.834170854272,8.648821039940907e-06,5.0,6293289,1276849768.0
GDP_per,2014,16092.62311557789,9.189808769400011e-06,5.0,6293289,1276849768.0
GDP_per,2014,17098.412060301507,9.72502273866628e-06,5.0,6293289,1276849768.0
GDP_per,2014,18104.201005025127,1.025029415803882e-05,5.0,6293289,1276849768.0
GDP_per,2014,19109.989949748742,1.0761499110580601e-05,5.0,6293289,1276849768.0
GDP_per,2014,20115.77889447236,1.1254636569117532e-05,5.0,6293289,1276849768.0
GDP_per,2014,21121.56783919598,1.1725904559830492e-05,5.0,6293289,1276849768.0
GDP_per,2014,22127.356783919597,1.2171772031363224e-05,5.0,6293289,1276849768.0
GDP_per,2014,23133.145728643216,1.2589044101711435e-05,5.0,6293289,1276849768.0
GDP_per,2014,24138.934673366835,1.2974918553354855e-05,5.0,6293289,1276849768.0
GDP_per,2014,25144.72361809045,1.3327031761394038e-05,5.0,6293289,1276849768.0
GDP_per,2014,26150.51256281407,1.3643492618032485e-05,5.0,6293289,1276849768.0
GDP_per,2014,27156.30150753769,1.392290348583247e-05,5.0,6293289,1276849768.0
GDP_per,2014,28162.090452261305,1.4164367707943916e-05,5.0,6293289,1276849768.0
GDP_per,2014,29167.879396984925,1.4367483731281368e-05,5.0,6293289,1276849768.0
GDP_per,2014,30173.668341708544,1.4532326426099823e-05,5.0,6293289,1276849768.0
GDP_per,2014,31179.45728643216,1.4659416669771475e-05,5.0,6293289,1276849768.0
GDP_per,2014,32185.24623115578,1.474968070699143e-05,5.0,6293289,1276849768.0
GDP_per,2014,33191.0351758794,1.4804401158390077e-05,5.0,6293289,1276849768.0
GDP_per,2014,34196.824120603014,1.4825161817614702e-05,5.0,6293289,1276849768.0
GDP_per,2014,35202.61306532663,1.481378854138434e-05,5.0,6293289,1276849768.0
GDP_per,2014,36208.40201005025,1.4772288586864658e-05,5.0,6293289,1276849768.0
GDP_per,2014,37214.19095477387,1.4702790687425935e-05,5.0,6293289,1276849768.0
GDP_per,2014,38219.979899497484,1.4607488001550042e-05,5.0,6293289,1276849768.0
GDP_per,2014,39225.76884422111,1.4488585794047095e-05,5.0,6293289,1276849768.0
GDP_per,2014,40231.55778894472,1.4348255388837196e-05,5.0,6293289,1276849768.0
GDP_per,2014,41237.34673366834,1.4188595535046728e-05,5.0,6293289,1276849768.0
GDP_per,2014,42243.13567839196,1.4011601903508617e-05,5.0,6293289,1276849768.0
GDP_per,2014,43248.92462311558,1.3819145007732002e-05,5.0,6293289,1276849768.0
GDP_per,2014,44254.71356783919,1.3612956427498878e-05,5.0,6293289,1276849768.0
GDP_per,2014,45260.502512562816,1.3394622836178961e-05,5.0,6293289,1276849768.0
GDP_per,2014,46266.29145728643,1.3165587016929145e-05,5.0,6293289,1276849768.0
GDP_per,2014,47272.08040201005,1.2927154804471854e-05,5.0,6293289,1276849768.0
GDP_per,2014,48277.86934673367,1.268050671999227e-05,5.0,6293289,1276849768.0
GDP_per,2014,49283.65829145729,1.242671297821003e-05,5.0,6293289,1276849768.0
GDP_per,2014,50289.4472361809,1.21667505454802e-05,5.0,6293289,1276849768.0
GDP_per,2014,51295.236180904525,1.1901520990945125e-05,5.0,6293289,1276849768.0
GDP_per,2014,52301.02512562814,1.1631868013266466e-05,5.0,6293289,1276849768.0
GDP_per,2014,53306.81407035176,1.1358593696863888e-05,5.0,6293289,1276849768.0
GDP_per,2014,54312.60301507538,1.1082472777736312e-05,5.0,6293289,1276849768.0
GDP_per,2014,55318.391959798995,1.0804264421672321e-05,5.0,6293289,1276849768.0
GDP_per,2014,56324.18090452261,1.0524721250655728e-05,5.0,6293289,1276849768.0
GDP_per,2014,57329.969849246234,1.0244595568803732e-05,5.0,6293289,1276849768.0
GDP_per,2014,58335.75879396985,9.964642919585308e-06,5.0,6293289,1276849768.0
GDP_per,2014,59341.547738693465,9.685623257457889e-06,5.0,6293289,1276849768.0
GDP_per,2014,60347.33668341709,9.408300116901624e-06,5.0,6293289,1276849768.0
GDP_per,2014,61353.125628140704,9.133438215113407e-06,5.0,6293289,1276849768.0
GDP_per,2014,62358.91457286432,8.861799938262225e-06,5.0,6293289,1276849768.0
GDP_per,2014,63364.70351758794,8.59414112875221e-06,5.0,6293289,1276849768.0
GDP_per,2014,64370.49246231156,8.331206527478696e-06,5.0,6293289,1276849768.0
GDP_per,2014,65376.281407035174,8.07372513709533e-06,5.0,6293289,1276849768.0
GDP_per,2014,66382.0703517588,7.82240567416948e-06,5.0,6293289,1276849768.0
GDP_per,2014,67387.8592964824,7.577932172689621e-06,5.0,6293289,1276849768.0
GDP_per,2014,68393.64824120603,7.340959707572551e-06,5.0,6293289,1276849768.0
GDP_per,2014,69399.43718592965,7.112110127455395e-06,5.0,6293289,1276849768.0
GDP_per,2014,70405.22613065326,6.8919676313976e-06,5.0,6293289,1276849768.0
GDP_per,2014,71411.01507537688,6.68107399452255e-06,5.0,6293289,1276849768.0
GDP_per,2014,72416.8040201005,6.479923253496874e-06,5.0,6293289,1276849768.0
GDP_per,2014,73422.59296482411,6.2889556919900466e-06,5.0,6293289,1276849768.0
GDP_per,2014,74428.38190954774,6.108551026238325e-06,5.0,6293289,1276849768.0
GDP_per,2014,75434.17085427136,5.939020774913762e-06,5.0,6293289,1276849768.0
GDP_per,2014,76439.95979899497,5.78059988917979e-06,5.0,6293289,1276849768.0
GDP_per,2014,77445.74874371859,5.633437828687333e-06,5.0,6293289,1276849768.0
GDP_per,2014,78451.53768844221,5.497589372747858e-06,5.0,6293289,1276849768.0
GDP_per,2014,79457.32663316582,5.373005551712237e-06,5.0,6293289,1276849768.0
GDP_per,2014,80463.11557788945,5.259525167550605e-06,5.0,6293289,1276849768.0
GDP_per,2014,81468.90452261307,5.1568674279074554e-06,5.0,6293289,1276849768.0
GDP_per,2014,82474.69346733668,5.064626252923484e-06,5.0,6293289,1276849768.0
GDP_per,2014,83480.4824120603,4.9822668094991945e-06,5.0,6293289,1276849768.0
GDP_per,2014,84486.27135678392,4.909124796262844e-06,5.0,6293289,1276849768.0
GDP_per,2014,85492.06030150753,4.8444089333485895e-06,5.0,6293289,1276849768.0
GDP_per,2014,86497.84924623116,4.787207011580829e-06,5.0,6293289,1276849768.0
GDP_per,2014,87503.63819095478,4.736495728134234e-06,5.0,6293289,1276849768.0
GDP_per,2014,88509.42713567839,4.691154386920594e-06,5.0,6293289,1276849768.0
GDP_per,2014,89515.21608040201,4.649982372151082e-06,5.0,6293289,1276849768.0
GDP_per,2014,90521.00502512563,4.611720133919011e-06,5.0,6293289,1276849768.0
GDP_per,2014,91526.79396984924,4.575073245951479e-06,5.0,6293289,1276849768.0
GDP_per,2014,92532.58291457286,4.538738935493026e-06,5.0,6293289,1276849768.0
GDP_per,2014,93538.37185929649,4.50143433488902e-06,5.0,6293289,1276849768.0
GDP_per,2014,94544.1608040201,4.4619255866663226e-06,5.0,6293289,1276849768.0
GDP_per,2014,95549.94974874372,4.419056846262639e-06,5.0,6293289,1276849768.0
GDP_per,2014,96555.73869346734,4.371778177010817e-06,5.0,6293289,1276849768.0
GDP_per,2014,97561.52763819095,4.319171331255455e-06,5.0,6293289,1276849768.0
GDP_per,2014,98567.31658291457,4.260472446671658e-06,5.0,6293289,1276849768.0
GDP_per,2014,99573.1055276382,4.195090777202337e-06,5.0,6293289,1276849768.0
GDP_per,2014,100578.8944723618,4.122622702147896e-06,5.0,6293289,1276849768.0
GDP_per,2014,101584.68341708543,4.042860422983093e-06,5.0,6293289,1276849768.0
GDP_per,2014,102590.47236180905,3.955794954651457e-06,5.0,6293289,1276849768.0
GDP_per,2014,103596.26130653266,3.861613233505564e-06,5.0,6293289,1276849768.0
GDP_per,2014,104602.05025125628,3.760689396343041e-06,5.0,6293289,1276849768.0
GDP_per,2014,105607.8391959799,3.653570514711021e-06,5.0,6293289,1276849768.0
GDP_per,2014,106613.62814070351,3.5409572913870477e-06,5.0,6293289,1276849768.0
GDP_per,2014,107619.41708542714,3.4236804262909747e-06,5.0,6293289,1276849768.0
GDP_per,2014,108625.20603015076,3.3026735309957106e-06,5.0,6293289,1276849768.0
GDP_per,2014,109630.99497487437,3.178943602202699e-06,5.0,6293289,1276849768.0
GDP_per,2014,110636.78391959799,3.0535401525176994e-06,5.0,6293289,1276849768.0
GDP_per,2014,111642.57286432161,2.927524134253141e-06,5.0,6293289,1276849768.0
GDP_per,2014,112648.36180904522,2.801937779559085e-06,5.0,6293289,1276849768.0
GDP_per,2014,113654.15075376884,2.6777764168652005e-06,5.0,6293289,1276849768.0
GDP_per,2014,114659.93969849247,2.5559632146974223e-06,5.0,6293289,1276849768.0
GDP_per,2014,115665.72864321608,2.437327654874081e-06,5.0,6293289,1276849768.0
GDP_per,2014,116671.5175879397,2.3225883551073773e-06,5.0,6293289,1276849768.0
GDP_per,2014,117677.30653266332,2.21234065666157e-06,5.0,6293289,1276849768.0
GDP_per,2014,118683.09547738693,2.107049176118092e-06,5.0,6293289,1276849768.0
GDP_per,2014,119688.88442211055,2.0070453024863572e-06,5.0,6293289,1276849768.0
GDP_per,2014,120694.67336683418,1.912529412869462e-06,5.0,6293289,1276849768.0
GDP_per,2014,121700.46231155779,1.8235773910178813e-06,5.0,6293289,1276849768.0
GDP_per,2014,122706.25125628141,1.7401508733928834e-06,5.0,6293289,1276849768.0
GDP_per,2014,123712.04020100503,1.6621105223869416e-06,5.0,6293289,1276849768.0
GDP_per,2014,124717.82914572864,1.5892315416135777e-06,5.0,6293289,1276849768.0
GDP_per,2014,125723.61809045226,1.5212206062935748e-06,5.0,6293289,1276849768.0
GDP_per,2014,126729.40703517589,1.45773338196515e-06,5.0,6293289,1276849768.0
GDP_per,2014,127735.1959798995,1.3983918460398227e-06,5.0,6293289,1276849768.0
GDP_per,2014,128740.98492462312,1.34280070308861e-06,5.0,6293289,1276849768.0
GDP_per,2014,129746.77386934674,1.290562291785648e-06,5.0,6293289,1276849768.0
GDP_per,2014,130752.56281407035,1.2412895096346494e-06,5.0,6293289,1276849768.0
GDP_per,2014,131758.35175879396,1.1946164246544946e-06,5.0,6293289,1276849768.0
GDP_per,2014,132764.1407035176,1.1502063902727625e-06,5.0,6293289,1276849768.0
GDP_per,2014,133769.9296482412,1.1077576241283867e-06,5.0,6293289,1276849768.0
GDP_per,2014,134775.7185929648,1.067006344038303e-06,5.0,6293289,1276849768.0
GDP_per,2014,135781.50753768845,1.0277276695827411e-06,5.0,6293289,1276849768.0
GDP_per,2014,136787.29648241206,9.89734589823761e-07,5.0,6293289,1276849768.0
GDP_per,2014,137793.08542713567,9.528753630437836e-07,5.0,6293289,1276849768.0
GDP_per,2014,138798.8743718593,9.170297528266188e-07,5.0,6293289,1276849768.0
GDP_per,2014,139804.6633165829,8.821045146181084e-07,5.0,6293289,1276849768.0
GDP_per,2014,140810.45226130652,8.480285320739935e-07,5.0,6293289,1276849768.0
GDP_per,2014,141816.24120603016,8.147479650085994e-07,5.0,6293289,1276849768.0
