curve_family,group_name,rank_var,year,x,y,ci
national_gdp,National,GDP_per,2014,0.0,0.0,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0020356874122093,8.895718248240406e-06,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0041824943966313,0.0003263024567393,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0045451580486953,0.0003263024567393,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0050679995111218,0.0003263024567393,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0091865795757422,0.0008442465797078,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0117808001982579,0.0022295209902283,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0123397359617956,0.0022295209902283,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0183858121670583,0.0050223234665417,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0209819562734963,0.0073871401721468,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0218935678265322,0.0073871401721468,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0235344836590047,0.0086865563254563,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0262217410686015,0.0098197992558327,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0318504494571048,0.0124423568646233,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0356794026531083,0.0136701614272592,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0377023062591025,0.0140138324686363,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0396391973969485,0.0140138324686363,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0429221403907558,0.0163103031671602,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0465966635160167,0.019482574581328,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0517965274047807,0.021307956733916,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0537921419742154,0.021307956733916,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0571681891083681,0.0235590692289087,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0581510055926955,0.0235590692289087,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0606144676841888,0.0235590724614352,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0615295878723925,0.0245255224770528,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0657967398401093,0.0269076705926693,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0701219518880783,0.0286479243498272,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0767827425410943,0.0351913501629484,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0792251927636329,0.0358355921446926,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0812085600034349,0.0404909983269162,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0827723633967876,0.0408096886736994,0.2364092376325958
national_gdp,National,GDP_per,2014,0.084218690949396,0.0421360573710828,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0860360018485745,0.0433965987667579,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0910204206576634,0.0475811017486536,0.2364092376325958
national_gdp,National,GDP_per,2014,0.0980813625366144,0.0482861499117279,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1037134111771244,0.049698166175614,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1078156431947599,0.0509168444297054,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1120880800441982,0.0559530986767338,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1169934864255698,0.0570706204503623,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1222304979891729,0.0588197510830977,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1280785469822006,0.0588871255661157,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1324306596106927,0.062003862743957,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1331644984878127,0.0620215503356826,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1339611857923758,0.0620480967491755,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1362757501789357,0.0621327391490292,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1371193568639157,0.0647521670920775,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1412517419982019,0.0677812401527152,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1450163790921407,0.0702361807388889,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1493879403673118,0.0721027228680473,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1551377279962038,0.0732093011261366,0.2364092376325958
national_gdp,National,GDP_per,2014,0.156999866408716,0.0732563083016797,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1595789301972133,0.0762162683516079,0.2364092376325958
national_gdp,National,GDP_per,2014,0.160910266931262,0.0766143856277913,0.2364092376325958
national_gdp,National,GDP_per,2014,0.161638974429449,0.0776944644146086,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1639842613026969,0.0779070786338063,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1650974392470579,0.0790699436832411,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1689225877668013,0.080605615543306,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1706065172735341,0.0811871074699413,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1751342684192742,0.0849199872295588,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1778867919252345,0.0872224742479795,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1813470776305141,0.0878622027332862,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1834404687772164,0.0896565144094303,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1865562307875204,0.0905087910059207,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1879303814855688,0.0906888222845644,0.2364092376325958
national_gdp,National,GDP_per,2014,0.1888424660778103,0.0906931721840176,0.2364092376325958
