campus_id,campus,legal_entity_id,legal_entity,province,province_en,city,city_en,lng,lat,beds
R000428,广西壮族自治区脑科医院,LE000836,广西壮族自治区脑科医院,广西壮族自治区,Guangxi,柳州市,Liuzhou,109.4333334,24.28055763,900
R000466,梧州市人民医院,LE000855,梧州市人民医院,广西壮族自治区,Guangxi,梧州市,Wuzhou,111.2272174,23.46072755,790
R002152,博白县人民医院,LE001973,博白县人民医院,广西壮族自治区,Guangxi,玉林市,Yulin,109.981184,22.27460999,1272
R001864,新疆维吾尔自治区中医院,LE000891,新疆医科大学第四附属医院（新疆维吾尔自治区中医医院）,新疆维吾尔自治区,Xinjiang,乌鲁木齐市,Urumqi,87.5989033,43.78797393,3500
R001865,新疆医科大学第二附属医院,LE000887,新疆医科大学第二附属医院,新疆维吾尔自治区,Xinjiang,乌鲁木齐市,Urumqi,87.61337137,43.82901871,800
R002172,新疆生产建设兵团第一师阿拉尔医院,LE001929,新疆生产建设兵团第一师阿拉尔医院,新疆维吾尔自治区,Xinjiang,第一师阿拉尔市,Alar,81.26422382,40.54745754,715
R002175,新疆生产建设兵团第二师库尔勒医院,LE001932,新疆生产建设兵团第二师库尔勒医院,新疆维吾尔自治区,Xinjiang,第二师铁门关市,Tiemenguan,86.12122365,41.77159151,800
C45C0049,常州市武进人民医院北院,C48LE0067,常州市武进人民医院,江苏省,Jiangsu,常州市,Changzhou,119.9647721,31.79408893,1000
R002187,太仓市第一人民医院,LE002001,太仓市第一人民医院,江苏省,Jiangsu,苏州市,Suzhou,121.1435479,31.4631823,1196
R001027,南京市江宁医院,LE000927,南京市江宁医院,江苏省,Jiangsu,南京市,Nanjing,118.8449689,31.95378111,1130
R001028,南京市江宁医院(湖山路院区),LE000927,南京市江宁医院,江苏省,Jiangsu,南京市,Nanjing,118.8643895,31.95780895,1600
R001065,苏州市中医院,LE000994,苏州市中医院,江苏省,Jiangsu,苏州市,Suzhou,120.5931892,31.27022538,1258
P2C000211,苏州市立医院太湖总院,LE000996,苏州市立医院,江苏省,Jiangsu,苏州市,Suzhou,120.5711105,31.19306601,1000
R001903,云南省第二人民医院,LE000070,云南省第二人民医院,云南省,Yunnan,昆明市,Kunming,102.7122294,25.05098187,1500
C45C0066,丰城市中医院本部,C48LE0084,丰城市中医院,江西省,Jiangxi,宜春市,Yichun,115.7858349,28.20020541,800
C45C0067,宜春市中医院新院区（本部）,C48LE0085,宜春市中医院,江西省,Jiangxi,宜春市,Yichun,114.3704911,27.80240559,800
