省级,地级,city_level,new_hosp_beds,expanded_beds,decreased_beds,closed_beds,net_SEE_beds,net_CIE_beds,net_total_beds,city_pop,city_SEE,city_CIE,city_TotalNetExpansion,Dominance,GDP_2014,GDP_growth,GDP_growth_pct,Ppo_NetIn,Ppo_NetIn_rate,ResPop_2014,ResPop_growth,ResPop_growth_rate,pop_density_mean,FiscalRevenue_2014,FiscalRevenue_pc_2014,ln_FiscalRevenue_pc_2014,acc_2014,gini_2014,theil_2014,atkinson_05_2014,zero_access_pop_pct_2014,p90_p10_2014,p80_p20_2014,acc_2024,gini_2024,theil_2024,atkinson_05_2024,zero_access_pop_pct_2024,p90_p10_2024,p80_p20_2024,acc_delta,gini_delta,theil_delta,atkinson_05_delta,zero_access_pop_pct_delta,p90_p10_delta,p80_p20_delta
上海市,上海市,Mega City,2810.0,3435.0,513.0,0.0,2810.0,2922.0,5732.0,23965088.0,1.1725389867126714,1.2192736367168775,2.3918126234295487,-0.04673465000420607,97370.0,119730.0,122.96395193591457,1000.0380711202652,0.6776184929353202,2467.0,13.260000000000218,0.0053749493311715,2275.3636363636365,45855536.0,18587.570328334008,9.830248374397245,18.794391845230297,0.1135361075085148,0.0431340988068902,0.0322424226264612,1.534295048900712,1.6477196157526697,1.3107478284642051,20.348272492930622,0.1133041328957906,0.0364813054146846,0.0255902004283483,0.9743219649461432,1.707886389184699,1.3461593446927935,1.5538806477003249,-0.0002319746127242006,-0.006652793392205605,-0.0066522221981129,-0.5599730839545689,0.06016677343202925,0.0354115162285884
云南省,临沧市,Medium/Small City,1816.0,0.0,0.0,0.0,1816.0,0.0,1816.0,2534678.8181818184,7.16461583603187,0.0,7.16461583603187,7.16461583603187,18710.0,33607.0,179.6205237840727,-12.229905487454545,-0.0509361573709604,236.7,-17.19999999999999,-0.0726658217152513,98.36363636363636,372572.0,1574.0261934938742,7.361392070194584,0.0,0.0,0.0,0.0,100.0,,,0.0,0.8273965376990626,1.5581175544533192,0.7694073386719094,72.52697154370074,,,0.0,0.8273965376990626,1.5581175544533192,0.7694073386719094,-27.47302845629926,,
云南省,丽江市,Medium/Small City,800.0,180.0,0.0,0.0,800.0,180.0,980.0,1291698.8181818181,6.193394224251685,1.3935137004566291,7.586907924708314,4.799880523795056,20663.0,36139.0,174.89715917340175,2.2336418096343635,0.0181597901732478,125.3,-0.2374400940219914,-0.0018949728174141,57.0,460701.0,3676.783719074222,8.209793659629572,0.0,0.0,0.0,0.0,100.0,,,0.0,0.6821436942081922,0.9730770254422848,0.5928945508244946,53.16070212891771,,,0.0,0.6821436942081922,0.9730770254422848,0.5928945508244946,-46.83929787108229,,
云南省,保山市,Medium/Small City,2480.0,35.0,50.0,0.0,2480.0,-15.0,2465.0,2611312.8181818184,9.497138691054074,-0.057442371115246416,9.439696319938827,9.554581062169321,19566.0,33780.0,172.6464274762343,-19.06682079703564,-0.0724935327287829,248.3,-8.400000000000006,-0.0338300443012485,132.0,471784.0,1900.0563834071686,7.5496388401916805,0.0,0.0,0.0,0.0,100.0,,,7.399977518587696,0.5434581419071187,0.6084368935897503,0.4226967517592385,36.58671576317198,,,7.399977518587696,0.5434581419071187,0.6084368935897503,0.4226967517592385,-63.41328423682802,,
云南省,大理白族自治州,Medium/Small City,2671.0,0.0,186.0,0.0,2671.0,-186.0,2485.0,3600130.272727273,7.419175967697937,-0.5166479707943902,6.9025279969035465,7.9358239384923275,,,,,,,,,,,,,2.528303861618042,0.5940981323638138,0.7013374012667845,0.4707411017150431,41.57547802010964,,,12.112819589157198,0.437650202952724,0.3822165405926934,0.275272710074393,20.104399998473603,,,9.584515727539156,-0.15644792941108981,-0.31912086067409107,-0.19546839164065005,-21.47107802163604,,
云南省,德宏傣族景颇族自治州,Medium/Small City,1000.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1257670.4545454546,7.951208493336345,0.0,7.951208493336345,7.951208493336345,,,,,,,,,,,,,0.0,0.0,0.0,0.0,100.0,,,0.138488520737801,0.6908585495462609,0.9700762306389116,0.5784500885449446,49.17116060961313,,,0.138488520737801,0.6908585495462609,0.9700762306389116,0.5784500885449446,-50.82883939038687,,
云南省,怒江傈僳族自治州,Medium/Small City,1071.0,0.0,0.0,0.0,1071.0,0.0,1071.0,552924.9090909091,19.369718788051774,0.0,19.369718788051774,19.369718788051774,,,,,,,,,,,,,0.0,0.0,0.0,0.0,100.0,,,0.0,0.7156025155045684,1.155048855992432,0.6789498755523043,66.97284380367165,,,0.0,0.7156025155045684,1.155048855992432,0.6789498755523043,-33.02715619632835,,
云南省,文山壮族苗族自治州,Medium/Small City,1950.0,0.0,0.0,0.0,1950.0,0.0,1950.0,3659306.6363636362,5.328878374450122,0.0,5.328878374450122,5.328878374450122,,,,,,,,,,,,,0.0,0.0,0.0,0.0,100.0,,,0.0,0.7801233767623734,1.282506723645155,0.6918962709881367,62.91226939909456,,,0.0,0.7801233767623734,1.282506723645155,0.6918962709881367,-37.08773060090544,,
云南省,昆明市,Super City,11089.0,2233.0,51.0,0.0,11089.0,2182.0,13271.0,6705582.818181818,16.536966734543622,3.254004997274252,19.790971731817873,13.28296173726937,56236.0,38824.0,69.03762714275553,235.4768070061362,0.4079326958113607,719.91,165.35173390453406,0.2296838964655777,386.09090909090907,4779736.0,6639.352141239878,8.800769668619926,28.916833118198483,0.3059811180200145,0.271460585067853,0.2175286183758279,17.720101776505977,,13.063129816211925,51.840972547586254,0.310013131647666,0.2583496017035893,0.2006073363764829,13.83200881169626,,6.586535828482836,22.924139429387772,0.004032013627651487,-0.013110983364263695,-0.016921281999345006,-3.888092964809717,,-6.476593987729089
云南省,昭通市,Medium/Small City,1500.0,699.0,0.0,0.0,1500.0,699.0,2199.0,5402140.090909091,2.7766773440848973,1.293931642343562,4.070608986428459,1.4827457017413352,12480.0,29287.0,234.6714743589744,-116.61517272727274,-0.1874533263441308,518.1,-37.700000000000045,-0.0727658753136461,270.0,510201.0,984.7539085118702,6.892391770882865,0.0,0.8088136507787013,1.5199182735019652,0.7733174115284229,75.82765904364639,,,0.0,0.781517949744423,1.358875916370315,0.7278361892778713,69.69792411948042,,,0.0,-0.027295701034278252,-0.16104235713165016,-0.04548122225055162,-6.129734924165973,,
云南省,普洱市,Medium/Small City,3285.0,0.0,23.0,0.0,3285.0,-23.0,3262.0,2644971.8181818184,12.419792065150032,-0.08695744824914786,12.332834616900884,12.50674951339918,18422.0,32419.0,175.97980675279555,-11.333098803895906,-0.0447906066234143,249.4,-15.700000000000015,-0.0629510825982358,56.18181818181818,449892.0,1803.897353648757,7.497704799695957,0.0,0.8516749907911362,1.7682071868156062,0.8223422631716585,80.86241900714843,,,0.0,0.8635484811000714,1.858705876337174,0.8381639778145074,82.66159594352031,,,0.0,0.011873490308935253,0.09049868952156781,0.015821714642848872,1.7991769363718788,,
云南省,曲靖市,Medium/Small City,2786.0,220.0,20.0,0.0,2786.0,200.0,2986.0,6086709.181818182,4.577185991277777,0.328584780421951,4.9057707716997285,4.248601210855826,27529.0,37428.0,135.95844382287768,-87.95604514633582,-0.1323661258571013,583.7,-20.300000000000068,-0.0347781394551997,223.27272727272728,1156724.0,1981.7097824224772,7.591715277540091,0.0,0.6808637017042232,0.956947939469958,0.5910189007234529,54.10028398293741,,,6.003901481628418,0.6384001531077023,0.7737965255531667,0.4858694250225079,39.96731994032925,,,6.003901481628418,-0.042463548596520906,-0.18315141391679135,-0.10514947570094496,-14.132964042608165,,
云南省,楚雄彝族自治州,Medium/Small City,2980.0,0.0,0.0,0.0,2980.0,0.0,2980.0,2795307.272727273,10.660724239781086,0.0,10.660724239781086,10.660724239781086,,,,,,,,,,,,,0.0,0.6765084610964249,0.9873154930191592,0.6134612395192471,58.88944461978852,,,4.272894361744756,0.617164615844694,0.7558456979015367,0.4856439800688638,37.15919076053238,,,4.272894361744756,-0.059343845251730976,-0.23146979511762256,-0.12781725945038336,-21.730253859256138,,
