outcome,factor,factor_display,contribution_abs,contribution_to_improvement,share_pct,baseline_value,target_value,total_change,total_improvement,sum_check_residual,method,shapley_mode,base_year,target_year,profile,service_scope
accessibility,road,Road,0.12729086945717874,0.12729086945717874,1.8012016409889056,7.218134454544716,14.285131650221976,7.06699719567726,7.06699719567726,-8.881784197001252e-16,exact_shapley_6_permutation_average,three_component,2014,2024,chn_osm_default,same_province
accessibility,population,Population,-0.47112782188634156,-0.47112782188634156,-6.666591323603765,7.218134454544716,14.285131650221976,7.06699719567726,7.06699719567726,-8.881784197001252e-16,exact_shapley_6_permutation_average,three_component,2014,2024,chn_osm_default,same_province
accessibility,hospital,Hospital supply,7.410834148106422,7.410834148106422,104.86538968261483,7.218134454544716,14.285131650221976,7.06699719567726,7.06699719567726,-8.881784197001252e-16,exact_shapley_6_permutation_average,three_component,2014,2024,chn_osm_default,same_province
gini,road,Road,-0.030017470319726458,0.030017470319726458,34.725179881553856,0.5886871481855027,0.5022441969261722,-0.08644295125933055,0.08644295125933055,0.0,exact_shapley_6_permutation_average,three_component,2014,2024,chn_osm_default,same_province
gini,population,Population,-0.0004712557386425953,0.0004712557386425953,0.5451638702487365,0.5886871481855027,0.5022441969261722,-0.08644295125933055,0.08644295125933055,0.0,exact_shapley_6_permutation_average,three_component,2014,2024,chn_osm_default,same_province
gini,hospital,Hospital supply,-0.055954225200961494,0.055954225200961494,64.7296562481974,0.5886871481855027,0.5022441969261722,-0.08644295125933055,0.08644295125933055,0.0,exact_shapley_6_permutation_average,three_component,2014,2024,chn_osm_default,same_province
theil,road,Road,-0.06872338721154585,0.06872338721154585,36.9677384771209,0.6314429474654578,0.44554196990341866,-0.18590097756203916,0.18590097756203916,0.0,exact_shapley_6_permutation_average,three_component,2014,2024,chn_osm_default,same_province
theil,population,Population,-0.0009061031115427479,0.0009061031115427479,0.48741169811243285,0.6314429474654578,0.44554196990341866,-0.18590097756203916,0.18590097756203916,0.0,exact_shapley_6_permutation_average,three_component,2014,2024,chn_osm_default,same_province
theil,hospital,Hospital supply,-0.11627148723895057,0.11627148723895057,62.54484982476667,0.6314429474654578,0.44554196990341866,-0.18590097756203916,0.18590097756203916,0.0,exact_shapley_6_permutation_average,three_component,2014,2024,chn_osm_default,same_province
atkinson_05,road,Road,-0.04795643356996623,0.04795643356996623,41.931327927683874,0.3933111160059688,0.27894213238428756,-0.11436898362168124,0.11436898362168124,0.0,exact_shapley_6_permutation_average,three_component,2014,2024,chn_osm_default,same_province
atkinson_05,population,Population,-0.0001662832269965405,0.0001662832269965405,0.1453918901182031,0.3933111160059688,0.27894213238428756,-0.11436898362168124,0.11436898362168124,0.0,exact_shapley_6_permutation_average,three_component,2014,2024,chn_osm_default,same_province
atkinson_05,hospital,Hospital supply,-0.06624626682471847,0.06624626682471847,57.923280182197914,0.3933111160059688,0.27894213238428756,-0.11436898362168124,0.11436898362168124,0.0,exact_shapley_6_permutation_average,three_component,2014,2024,chn_osm_default,same_province
