Year,省级,省级码,pop_num_0_30,pop_pct_0_30,pop_num_30_60,pop_pct_30_60,pop_num_60_90,pop_pct_60_90,pop_num_lt_60,pop_pct_lt_60,pop_num_lt_90,pop_pct_lt_90,min,max,grid_num,pop_num,snap_invalid_pop_pct,reachable_grid_num,reachable_pop_num,reachable_pop_pct,unreachable_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20
2014,上海市,310000.0,22531453.0,0.9631912396544842,502139.0,0.0214658098565087,357718.0,0.015291993990211,23033592.0,0.9846570495109928,23391310.0,0.999949043501204,1.0160064697265625,96.5753173828125,8699,23392502.0,0.0,8699,23392502.0,1.0,0.0,reachable_population_only,10.26284791045552,3.2015608856814355,6.932095746397431,13.133580164255829,11.215188354270916,0.4843264851946022,0.4138090840550518,0.1889496112845732,0.0,10.780485190106614,5.444774886410574
2014,云南省,530000.0,8918291.0,0.1911450149418528,5531093.0,0.1185474721703718,5730478.0,0.1228208748664916,14449384.0,0.3096924871122246,20179862.0,0.4325133619787163,1.01531982421875,751.072509765625,477420,46657199.0,0.0,477420,46657199.0,1.0,0.0,reachable_population_only,125.4489396980726,42.899930742051865,106.981201171875,188.6624323707266,100.41069778239884,0.439746891547855,0.3295776907111307,0.1855748730658291,0.0,35.324497454309416,6.551250071269742
2014,内蒙古自治区,150000.0,6425337.0,0.2535603631235941,2744627.0,0.1083100573182108,2845183.0,0.112278256320731,9169964.0,0.3618704204418049,12015147.0,0.4741486767625358,1.0382080078125,1262.4478759765625,898996,25340463.0,0.0,898996,25340463.0,1.0,0.0,reachable_population_only,153.73816426889823,28.693630982058608,97.5981903076172,189.8827122833769,177.89625581556697,0.5677155256575812,0.5618241140057776,0.290760957978874,0.0,113.17911714770798,19.96522309977734
2014,北京市,110000.0,18203789.0,0.9138108825274563,1541276.0,0.0773704189703796,133341.0,0.0066935766442411,19745065.0,0.991181301497836,19878406.0,0.9978748781420772,1.0052490234375,182.6454162597656,21076,19920740.0,0.0,21076,19920740.0,1.0,0.0,reachable_population_only,11.331356147980708,3.335723876953125,6.693450634261711,13.960174000288962,12.782434675099276,0.5107125208898498,0.4521975875476087,0.2071111668245859,0.0,12.775927487352446,5.783968120162465
2014,吉林省,220000.0,9229919.0,0.3312112897893481,5786366.0,0.2076410146235553,4907898.0,0.1761176047952926,15016285.0,0.5388523044129034,19924183.0,0.714969909208196,1.0031890869140625,569.9567260742188,240554,27867163.0,0.0,240554,27867163.0,1.0,0.0,reachable_population_only,64.81229119754825,16.335900624593098,53.15435028076172,97.99990227431582,56.86064709058753,0.4712879886951645,0.3831442781854858,0.2121159375354733,0.0,39.311674150096216,14.13786343346604
2014,四川省,510000.0,31625655.0,0.3870657412741676,28540096.0,0.3493016481168818,9277721.0,0.113549836555161,60165751.0,0.7363673893910495,69443472.0,0.8499172259462104,1.002044677734375,1029.9833984375,576639,81706159.0,0.0,576639,81706159.0,1.0,0.0,reachable_population_only,55.39598033958674,18.93704061854397,38.00582885742188,61.81297302246094,72.47898603297489,0.5138527704806685,0.5037513025728598,0.2287249846493747,0.0,22.20954672068878,4.891069969195952
2014,天津市,120000.0,10955737.0,0.8399462930538393,2035022.0,0.1560195526036276,52619.0,0.004034154342533,12990759.0,0.9959658456574668,13043378.0,1.0,1.017608642578125,81.00288391113281,16424,13043378.0,0.0,16424,13043378.0,1.0,0.0,reachable_population_only,14.031736574804592,3.176389369472293,7.756780601409544,24.63685484403028,13.042285605129416,0.4979565624278894,0.4118043660604881,0.2097897924290291,0.0,16.47143661971831,9.9000661266325
2014,宁夏回族自治区,640000.0,2378220.0,0.3722259950920172,1212178.0,0.1897234748167332,799375.0,0.1251138056305477,3590398.0,0.5619494699087505,4389773.0,0.6870632755392982,1.04095458984375,288.97955322265625,73412,6389183.0,0.0,73412,6389183.0,1.0,0.0,reachable_population_only,74.13363602962379,11.432569003184373,51.003110664336205,111.30500793457033,72.00905040009009,0.5249148128422985,0.4665417014981837,0.2518852544571268,0.0,59.69324398249453,21.028553820870997
2014,安徽省,340000.0,23063321.0,0.3819685180705544,20252849.0,0.3354222368598481,12843099.0,0.2127039506783701,43316170.0,0.7173907549304025,56159269.0,0.9300947056087726,1.013031005859375,221.0730743408203,181355,60380162.0,0.0,181355,60380162.0,1.0,0.0,reachable_population_only,43.10369471422908,17.840652465820312,40.44667266135992,63.29644122213688,30.80227181204855,0.3984438988805637,0.273001548935556,0.1531178881410669,0.0,19.402910292628324,5.827728248467385
2014,山东省,370000.0,50621099.0,0.5207293191728208,37855837.0,0.3894155721061544,8515351.0,0.0875957459704223,88476936.0,0.9101448912789752,96992287.0,0.9977406372493977,1.0063934326171875,126.80030822753906,219517,97211924.0,0.0,219517,97211924.0,1.0,0.0,reachable_population_only,30.56820931033811,14.120310378016066,28.73560839020804,44.06511111750914,20.09131365894107,0.3723347185449571,0.2326324524146789,0.1283827233086981,0.0,12.825964771415666,4.490234964431989
2014,山西省,140000.0,16656761.0,0.4584500209094962,10384454.0,0.2858150605290969,5265566.0,0.1449260659260424,27041215.0,0.7442650814385932,32306781.0,0.8891911473646356,1.010284423828125,263.0728759765625,224108,36332774.0,0.0,224108,36332774.0,1.0,0.0,reachable_population_only,43.04710971825055,12.843475341796877,33.20818708488587,60.8548331014086,39.23433128315154,0.4737776292274953,0.3783264497686338,0.1973954050804464,0.0,24.639164832550115,7.942445849589667
