Year,pop_num_0_30,pop_pct_0_30,pop_num_30_60,pop_pct_30_60,pop_num_60_90,pop_pct_60_90,pop_num_lt_60,pop_pct_lt_60,pop_num_lt_90,pop_pct_lt_90,min,max,grid_num,pop_num,snap_invalid_pop_pct,reachable_grid_num,reachable_pop_num,reachable_pop_pct,unreachable_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20
2014,602264758.0,0.4440753035074883,382175378.0,0.28179408594656485,181458756.0,0.13379722302262168,984440136.0,0.7258693894540531,1165898892.0,0.8596666124766749,1.0004425048828125,1901.107666015625,8143637,1356222139.0,0.0,8143637,1356222139.0,1.0,0.0,reachable_population_only,51.360633834994296,12.59033203125,34.946014739090934,63.863067626953125,68.0813107333625,0.5386554276542335,0.5391903446974634,0.25181916322487385,0.0,29.532211658744057,8.71965454874299
2015,620127624.0,0.453305007698532,402718710.0,0.29438199633708445,183336221.0,0.13401632801931876,1022846334.0,0.7476870040356164,1206182555.0,0.8817033320549351,1.000213623046875,1891.6307373046875,8111647,1368014060.0,0.0,8111647,1368014060.0,1.0,0.0,reachable_population_only,47.26247921538764,12.02391484116642,33.97773742675781,60.35797119140625,60.53855975365725,0.5218664167895815,0.5052163015709119,0.23883752126848357,0.0,27.56107460378817,8.519986401881074
2016,631041501.0,0.45924746791730064,410336382.0,0.2986268638896481,181859080.0,0.1323499672769855,1041377883.0,0.7578743318069487,1223236963.0,0.8902242990839343,1.000213623046875,1668.54931640625,8110860,1374077257.0,0.0,8110860,1374077257.0,1.0,0.0,reachable_population_only,45.248157294880244,11.648894540780361,33.45222473144531,58.82652282714844,55.500513587856176,0.512292182394235,0.4810687781806516,0.23089848412764902,0.0,26.907518993974325,8.519653493199852
2017,653636637.0,0.4736694501866178,422492978.0,0.30616707398084053,175833400.0,0.12742081026043164,1076129615.0,0.7798365241674583,1251963015.0,0.90725733442789,1.0004425048828125,1638.7769775390625,8115783,1379942567.0,0.0,8115783,1379942567.0,1.0,0.0,reachable_population_only,42.06159898216331,11.5484619140625,32.14393615722656,55.836181640625,48.310563342731086,0.4970721402492454,0.44688873933655504,0.2182615683237238,0.0,25.28607477256126,8.064446392053753
2018,666262730.0,0.4809346969764312,426747531.0,0.3080431866674055,172957503.0,0.12484754219271006,1093010261.0,0.7889778836438367,1265967764.0,0.9138254258365467,1.000213623046875,1383.6275634765625,8104617,1385349683.0,0.0,8104617,1385349683.0,1.0,0.0,reachable_population_only,40.68068990152667,10.9991455078125,31.525955200195312,54.715576171875,45.52522568879742,0.4934258788800656,0.4374539265940919,0.21570689868226078,0.0,25.26071818678318,8.259549941749954
2019,682663861.0,0.49102404335770866,431427393.0,0.31031556675025923,165534364.0,0.1190649708728711,1114091254.0,0.8013396101079678,1279625618.0,0.920404580980839,1.000213623046875,1373.019775390625,8092082,1390286016.0,0.0,8092082,1390286016.0,1.0,0.0,reachable_population_only,39.517492697971534,10.6549072265625,30.69122314453125,53.168792724609375,44.264032797563715,0.492828482559724,0.43680037149485856,0.21514337119859617,0.0,24.912699514226233,8.233343838638513
2020,705165823.0,0.5056502169787355,431348186.0,0.3093049843459074,158505535.0,0.11365888072128043,1136514009.0,0.8149552013246429,1295019544.0,0.9286140820459233,1.000213623046875,1348.1309814453125,8071518,1394572373.0,0.0,8071518,1394572373.0,1.0,0.0,reachable_population_only,37.70478724232787,10.620346069335938,29.561233520507812,51.410769016370864,39.989562842944906,0.48360792520362506,0.41330332054735996,0.20571559206157664,0.0,22.670712504920616,7.678090314733161
2021,723556247.0,0.5173902133939366,430445811.0,0.3077970108491318,154464757.0,0.11045244086749287,1154002058.0,0.8251872242430685,1308466815.0,0.9356396651105613,1.000213623046875,2036.76318359375,6290511,1398473006.0,0.0,6290511,1398473006.0,1.0,0.0,reachable_population_only,36.41870348000231,10.21820068359375,28.681640625,50.003814697265625,38.029576093524724,0.481934815278259,0.4087707807689947,0.20439852003132974,0.0,22.627403195234226,7.786443472195803
2022,741303235.0,0.5253194988567959,431874163.0,0.3060446901683333,151179326.0,0.10713220180649578,1173177398.0,0.8313641890251292,1324356724.0,0.938496390831625,1.000213623046875,1626.8916015625,6297843,1411147381.0,0.0,6297843,1411147381.0,1.0,0.0,reachable_population_only,35.69505553438489,9.863433837890625,28.09478759765625,49.08027648925781,37.32449516679481,0.4827204366095972,0.409765771610995,0.2049270639449705,0.0,22.6569443489028,7.893929983983264
2023,759612476.0,0.5373229827225918,428595620.0,0.3031733735245266,144466186.0,0.10219026729634274,1188208096.0,0.8404963562471185,1332674282.0,0.9426866235434612,1.000213623046875,1608.0311279296875,6165308,1413698093.0,0.0,6165308,1413698093.0,1.0,0.0,reachable_population_only,34.644608180297226,9.325790405273438,27.252731323242188,47.81959533691406,36.22279386429887,0.4841136176081895,0.41141474620938534,0.20578816425606095,0.0,22.455449705799943,8.064041940789474
2024,781635560.0,0.5517722072885268,424783148.0,0.299862937646963,137828978.0,0.09729623792881405,1206418708.0,0.8516351449354899,1344247686.0,0.9489313828643039,1.000213623046875,1578.74609375,5959327,1416591031.0,0.0,5959327,1416591031.0,1.0,0.0,reachable_population_only,33.346828877871026,8.888626098632812,26.217041015625,46.31000539991591,34.66663906765088,0.4837888396062756,0.40978536288207745,0.20538441289427234,0.0,22.392465476968116,8.195599813063954
