省级,地级,city_level,new_hosp_beds,expanded_beds,decreased_beds,closed_beds,city_pop,net_SEE_beds,net_CIE_beds,net_total_beds,SEE_city,CIE_city,Dominance_city,acc_median,acc_gini,acc_theil,acc_atkinson_05,acc_zero_access_pop_pct,acc_p90_p10,acc_p80_p20,acc_delta,gini_delta,theil_delta,atkinson_05_delta,zero_access_pop_pct_delta,p90_p10_delta,p80_p20_delta
上海市,上海市,Mega City,0.0,1131.0,0.0,0.0,24069404.5,0.0,1131.0,1131.0,0.0,0.4698911433392546,-0.4698911433392546,20.191565865513727,0.1152646149980455,0.0384084611704692,0.0271445233577281,1.031051446111959,1.7467866003889558,1.3534501318549967,0.4182151373957943,-0.0017613322493376105,-0.0009609439991686008,-0.0005866566510701991,0.02083499439703118,-0.0061956196294616905,-0.011912798927223411
云南省,临沧市,Small City,0.0,0.0,0.0,0.0,2547083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8618478225464865,1.8364296440766263,0.832250486671327,81.4398060425858,,,0.0,-0.00541870969970204,-0.04538636002801155,-0.007672239370683842,-0.8916085458774319,,
云南省,丽江市,Small City,0.0,0.0,0.0,0.0,1299990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.674947437803736,0.9389587779408932,0.5763897852458388,51.23585856413345,,,0.0,-0.0696301729601686,-0.31637019462292804,-0.12595076485346635,-15.624291251139567,,
云南省,保山市,Small City,0.0,0.0,0.0,0.0,2624049.0,0.0,0.0,0.0,0.0,0.0,0.0,8.02537800397487,0.554520976996892,0.668045168538987,0.4681081493416434,43.405561327198896,,,3.8172947635096843,-0.024897023814396513,-0.06045513163023597,-0.0317158350571663,-3.2607084395613413,,
云南省,大理白族自治州,Small City,0.0,0.0,0.0,0.0,3617003.0,0.0,0.0,0.0,0.0,0.0,0.0,11.556990662846577,0.4607210866119779,0.409928873944087,0.292328366954415,22.696270517784843,,,-0.325875998323907,-0.001350128940080464,-0.0065112133784759885,-0.005895668020090006,-0.5929354385805468,,
云南省,德宏傣族景颇族自治州,Small City,0.0,0.0,0.0,0.0,1264268.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.704741686737324,1.0589722150073684,0.6299688371214364,58.4652519868758,,,0.0,-0.002022651640156692,-0.006272808769516081,-0.0017899845134230485,-0.1172670094797823,,
云南省,怒江傈僳族自治州,Small City,0.0,0.0,0.0,0.0,555753.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722811535861865,1.1716141926310444,0.6828999411885248,67.02169094221433,,,0.0,-0.03015654178574756,-0.09557379500507923,-0.026636325180215525,-2.377185604157887,,
云南省,文山壮族苗族自治州,Small City,0.0,0.0,0.0,0.0,3678529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7893394347155567,1.3169133305211222,0.7004837442097104,63.8707346514771,,,0.0,-0.023388324522320203,-0.12332388346790357,-0.035725617715806846,-4.414764086761188,,
云南省,昆明市,Super City,200.0,0.0,0.0,0.0,6738101.5,200.0,0.0,200.0,0.29681951214299757,0.0,0.29681951214299757,47.38049020271895,0.2957412023915572,0.2472975820291223,0.1956552282848495,14.677748004056577,,6.239098791392419,-0.07771338004472028,-0.0048506718813993155,-0.011132233029076705,-0.009509330384089798,-0.5430201687783001,,-1.4142815574868166
云南省,昭通市,Small City,0.0,0.0,0.0,0.0,5434647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7829178675643845,1.35311805748627,0.7251500180377628,69.18382072863719,,,0.0,-0.017784166443453375,-0.09254756247540241,-0.025863329721392936,-3.099322232377901,,
云南省,普洱市,Small City,0.0,0.0,0.0,0.0,2656258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8558510599100131,1.821687836393628,0.8333594282237573,82.26273939053051,,,0.0,-0.0035588938129333947,-0.02024688824851273,-0.0034178680894785263,-0.5361446535694228,,
云南省,曲靖市,Medium-sized City,510.0,0.0,0.0,0.0,6119496.5,510.0,0.0,510.0,0.8334018983424535,0.0,0.8334018983424535,7.00836460981796,0.6187524928508119,0.7287784256687658,0.4679529765750252,38.75060434390076,,,0.5436683134450586,-0.0024205362367497596,-0.011773528798377675,-0.009951740656289676,-1.757011630448737,,
云南省,楚雄彝族自治州,Small City,0.0,0.0,0.0,0.0,2806759.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8583209592605305,0.667528415233452,0.9035745844574872,0.5571722625219115,46.26006302556891,,,0.21750904260823234,0.0007851590506999795,-0.0015950524841231717,-0.0016757265203943827,-0.3097344688223842,,
云南省,玉溪市,Medium-sized City,0.0,0.0,0.0,0.0,2442157.0,0.0,0.0,0.0,0.0,0.0,0.0,12.803780697111534,0.4974564305648047,0.4867640047829023,0.3447965832586365,27.815568417903908,,,0.9024483363847189,-0.011406699815132093,-0.015750685194121095,-0.007202278482624724,-0.23856406002368757,,
云南省,红河哈尼族彝族自治州,Small City,0.0,0.0,0.0,0.0,4684380.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6784344469879344,0.925302907376176,0.5725078002435144,51.19981582616035,,,0.0,-0.0083732087165449,-0.02000174873179572,-0.006116786435398147,-0.41249500125943683,,
云南省,西双版纳傣族自治州,Small City,0.0,0.0,0.0,0.0,1188180.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0895600584858445,0.6846585696803997,0.9449631943569362,0.5610830276310435,47.79442292159597,,,1.0895600584858445,-0.02820830499552529,-0.08683999698836298,-0.03720415539692645,-4.301873975256292,,
云南省,迪庆藏族自治州,Small City,0.0,0.0,0.0,0.0,416050.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695944065335466,1.0978718387798685,0.660533393366596,65.13657941528179,,,0.0,-0.01815248038492867,-0.05702837139553196,-0.018193810783445175,-1.6862364567126775,,
内蒙古自治区,乌兰察布市,Small City,0.0,0.0,0.0,0.0,2238719.0,0.0,0.0,0.0,0.0,0.0,0.0,1.700254629055659,0.6467727424254353,0.8384809106190341,0.5236818400456514,43.85105748756087,,,0.8468573573799361,-0.011522514575399212,-0.0398891720096235,-0.021518638879655883,-2.903041842118064,,
内蒙古自治区,乌海市,Medium-sized City,0.0,0.0,0.0,0.0,550464.5,0.0,0.0,0.0,0.0,0.0,0.0,19.230257521402937,0.1327109634372115,0.0586038148500811,0.0465780501009173,3.241660983996634,1.9124478669744247,1.3065465991658238,-0.7466177012341078,-0.015933610122686792,-0.0212664884408535,-0.020181246178645,-1.995034827993285,-0.20771088854595177,0.0004783287453034024
内蒙古自治区,兴安盟,Small City,0.0,0.0,0.0,0.0,1688027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7269305181253075,1.153387211924067,0.667288462969579,63.25250836120402,,,0.0,-0.008424006414383234,-0.028609769108544736,-0.009077305311593231,-0.9954930157241222,,
内蒙古自治区,包头市,Type II Large City,0.0,0.0,0.0,0.0,2776719.5,0.0,0.0,0.0,0.0,0.0,0.0,28.01505235168669,0.2304598295356394,0.1986908258204483,0.1661500606783992,13.381939569355414,,2.4364048530697966,-0.25148742843117944,-0.0021515413705283926,-0.0036607100867432907,-0.003641958793828226,-0.5698496102758899,,-0.04449140728833667
内蒙古自治区,呼伦贝尔市,Small City,0.0,0.0,0.0,0.0,2866843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6549173152550313,0.8901448040585437,0.5678409615635072,52.90908274223612,,,0.0,-0.016048128566940156,-0.04417810844795356,-0.017963599408482578,-1.981619400880355,,
内蒙古自治区,呼和浩特市,Type II Large City,1000.0,0.0,0.0,0.0,3001256.5,1000.0,0.0,1000.0,3.3319378067152874,0.0,3.3319378067152874,52.19780257431488,0.2543546662151879,0.1975020404021673,0.1577655457573771,9.27249395899201,16845.735191836506,2.7062535219376413,3.6011851381588045,-0.01020701676243202,-0.011277600147210798,-0.009256955796940775,-1.1804682948208836,,-0.21310242174440797
