省级,地级,city_level,new_hosp_beds,expanded_beds,decreased_beds,closed_beds,city_pop,net_SEE_beds,net_CIE_beds,net_total_beds,SEE_city,CIE_city,Dominance_city,acc_median,acc_gini,acc_theil,acc_atkinson_05,acc_zero_access_pop_pct,acc_p90_p10,acc_p80_p20,acc_delta,gini_delta,theil_delta,atkinson_05_delta,zero_access_pop_pct_delta,p90_p10_delta,p80_p20_delta
上海市,上海市,Mega City,0.0,253.0,0.0,0.0,23648236.5,0.0,253.0,253.0,0.0,0.10698472167258645,-0.10698472167258645,18.62481462288823,0.1132900134573856,0.0418840370594078,0.0311196266891649,1.440434718548364,1.6731929033203563,1.3165829278957768,0.031307581384012906,-0.0007664302736336004,-0.0009591863955429047,-0.0006517241435966999,0.0021436598434287912,0.005150936513124815,0.005344137096345625
云南省,保山市,Small City,0.0,0.0,0.0,0.0,2575630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652605416977358,0.9048644279907138,0.5762555620825219,54.19801372633184,,,0.0,-0.0074149244612797816,-0.022588244222653597,-0.008993513944993481,-0.7289029691292299,,
云南省,大理白族自治州,Small City,0.0,0.0,0.0,0.0,3552642.0,0.0,0.0,0.0,0.0,0.0,0.0,4.685331515579603,0.5984555678398635,0.7066360454280597,0.4702104737316915,40.777067419671845,,,-0.34490162918052913,0.0012296109021108226,0.00017212403890443095,-0.002413832627261192,-0.7284921401898643,,
云南省,文山壮族苗族自治州,Small City,0.0,0.0,0.0,0.0,3609806.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8555140605099198,1.7258440673848734,0.8066999877557763,77.75728963101986,,,0.0,-0.014565565542939418,-0.11066483887601097,-0.02042647527857744,-2.404285002573374,,
云南省,昆明市,Super City,1647.0,0.0,0.0,0.0,6617668.0,1647.0,0.0,1647.0,2.4887921243555886,0.0,2.4887921243555886,36.4703236663218,0.2973909905734871,0.2601793825951468,0.2082435005441799,16.169563653239738,,8.653029282413291,2.636433497834176,-0.013215197696463288,-0.01575349034315232,-0.012006939700221403,-1.4964151486518737,,-5.697099288677377
云南省,昭通市,Small City,0.0,0.0,0.0,0.0,5317029.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8119694641440884,1.5341640763619315,0.7767075561096418,76.20026760396864,,,0.0,-0.007557702462711258,-0.036811468513094026,-0.00761865343435153,-0.5872363378524312,,
云南省,普洱市,Small City,0.0,0.0,0.0,0.0,2611186.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8583348999162195,1.823618758722043,0.8330126909282232,82.30333321869782,,,0.0,-0.0025618866211085667,-0.006856654608906165,-2.2467266449610612e-05,0.264531246012794,,
云南省,曲靖市,Medium-sized City,1200.0,0.0,0.0,0.0,5995491.0,1200.0,0.0,1200.0,2.001504130353961,0.0,2.001504130353961,0.0,0.7160535499350893,1.0538569307032188,0.6254769762786265,58.12773268787312,,,0.0,0.011004766000726085,0.030681829522166026,0.010537645658891481,1.352451296903908,,
云南省,楚雄彝族自治州,Small City,0.0,0.0,0.0,0.0,2760986.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7068920843482198,1.0448268663131175,0.6227181509076912,55.544340375767554,,,0.0,0.02827667819758939,0.08726737942444751,0.032500942233656516,2.998975588062784,,
云南省,玉溪市,Medium-sized City,0.0,0.0,0.0,0.0,2374858.5,0.0,0.0,0.0,0.0,0.0,0.0,5.423042844273284,0.5799448010272439,0.6405143114423443,0.4276327499291273,35.6248056804336,,,0.6929884657637624,-0.021507150622771753,-0.0637037982724088,-0.04024568592849809,-5.100720849803139,,
云南省,红河哈尼族彝族自治州,Small City,0.0,0.0,0.0,0.0,4612503.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7734127840413659,1.2483668651545956,0.6841218583514478,63.814966305435085,,,0.0,-0.004884743692796234,-0.0204614292169345,-0.00587565693965153,-0.6029783627017125,,
